Name,Platform,Developer,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Yoshi's Island DS,DS,Artoon,Nintendo,2.76,1.45,0.07,1.1,0.15
The Legend of Zelda: A Link to the Past,GBA,Capcom,Nintendo,2.7,1.75,0.52,0.33,0.1
Mario vs. Donkey Kong: Mini-Land Mayhem!,DS,Nintendo,Nintendo,2.67,1.63,0.51,0.35,0.18
Professor Layton and the Last Specter,DS,Level 5,Nintendo,2.67,0.28,1.39,0.68,0.32
Mario Strikers Charged,Wii,Next Level Games,Nintendo,2.58,1.05,1.05,0.24,0.24
Style Savvy,DS,syn Sophia,Nintendo,2.58,0.62,0.82,0.96,0.18
Pokémon Colosseum,GC,Genius Sonority Inc.,Nintendo,2.54,1.21,0.57,0.7,0.07
Art Academy,DS,Headstrong Games,Nintendo,2.52,0.26,1.65,0.33,0.28
Mario Party 4,GC,Hudson,Nintendo,2.47,1.13,0.36,0.92,0.07
The Legend of Zelda: Majora's Mask 3D,3DS,GREZZO,Nintendo,2.34,1.15,0.55,0.47,0.17
Paper Mario: Sticker Star,3DS,Intelligent Systems,Nintendo,2.3,1.12,0.41,0.64,0.14
Pokemon Ranger: Shadows of Almia,DS,"HAL Labs, Creatures Inc.",Nintendo,2.28,0.94,0.53,0.62,0.18
Kirby: Nightmare in Dream Land,GBA,HAL Labs,Nintendo,2.27,1.22,0.1,0.91,0.04
Wario Land 4,GBA,Nintendo,Nintendo,2.26,0.9,0.73,0.54,0.09
Paper Mario: The Thousand-Year Door,GC,Intelligent Systems,Nintendo,2.25,1.48,0.25,0.46,0.06
New Super Luigi U,WiiU,Nintendo,Nintendo,2.24,1.25,0.62,0.18,0.18
Monster Hunter Tri,Wii,Capcom,Nintendo,2.22,0.65,0.4,1.05,0.11
Pokemon Ranger,DS,HAL Labs,Nintendo,2.15,1.28,0.03,0.73,0.12
Tetris DS,DS,Nintendo,Nintendo,2.1,0.63,0.05,1.35,0.08
Mario Party 5,GC,Hudson,Nintendo,2.08,0.97,0.33,0.73,0.06
Mario Sports Mix,Wii,Square Enix,Nintendo,2.08,0.88,0.44,0.63,0.12
Donkey Kong Country,GBA,Rare Ltd.,Nintendo,2.04,1.2,0.48,0.29,0.07
Pokémon Mystery Dungeon: Blue Rescue Team,DS,ChunSoft,Nintendo,2.02,1.15,0.04,0.83,0
Fire Emblem: Awakening,3DS,Intelligent Systems,Nintendo,2.01,0.9,0.45,0.54,0.13
Kirby Squeak Squad,DS,"Flagship, HAL Labs",Nintendo,1.94,0.78,0.02,1.05,0.08
Mario Party: Island Tour,3DS,"Nintendo, Nd Cube",Nintendo,1.92,0.62,0.64,0.55,0.11
Mario Super Sluggers,Wii,Namco Bandai Games,Nintendo,1.89,1.48,0,0.29,0.12
Star Fox Adventures,GC,Rare Ltd.,Nintendo,1.87,0.96,0.53,0.3,0.09
Kirby: Triple Deluxe,3DS,HAL Labs,Nintendo,1.83,0.61,0.34,0.79,0.09
Metroid Prime 3: Corruption,Wii,Retro Studios,Nintendo,1.79,0.89,0.74,0.07,0.09
Golden Sun,GBA,Camelot Software Planning,Nintendo,1.76,0.93,0.38,0.4,0.06
Wii Party U,WiiU,Nd Cube,Nintendo,1.75,0.3,0.56,0.84,0.05
Dragon Quest VI: Realms of Revelation,DS,ArtePiazza,Nintendo,1.73,0.2,0.14,1.35,0.03
Personal Trainer: Math,DS,Jupiter Corporation,Nintendo,1.69,0.48,1.12,0,0.08
Metroid Fusion,GBA,Nintendo,Nintendo,1.68,1.18,0.27,0.17,0.06
Kirby's Return to Dreamland,Wii,HAL Labs,Nintendo,1.65,0.58,0.21,0.79,0.07
Mario Party 6,GC,Hudson Soft,Nintendo,1.65,0.9,0.11,0.6,0.05
Pikmin,GC,Nintendo,Nintendo,1.63,0.78,0.25,0.56,0.04
Kirby Air Ride,GC,HAL Labs,Nintendo,1.62,1.01,0.11,0.45,0.04
Super Mario Strikers,GC,Next Level Games,Nintendo,1.61,0.98,0.38,0.2,0.04
Mario Hoops 3 on 3,DS,Square Enix,Nintendo,1.6,0.98,0.04,0.49,0.09
The Legend of Zelda: Twilight Princess,GC,Nintendo,Nintendo,1.59,1.15,0.36,0.04,0.04
Pokemon Battle Revolution,Wii,Genius Sonority Inc.,Nintendo,1.58,0.78,0.37,0.3,0.13
Mario Party 10,WiiU,"Nintendo, Nd Cube",Nintendo,1.58,0.69,0.53,0.24,0.12
Mario Party 7,GC,Hudson,Nintendo,1.57,0.95,0.11,0.46,0.04
Pokemon Mystery Dungeon: Explorers of Sky,DS,ChunSoft,Nintendo,1.56,0.57,0.43,0.44,0.12
Mario Golf: Toadstool Tour,GC,Camelot Software Planning,Nintendo,1.53,1.09,0.15,0.25,0.04
Donkey Kong Country: Tropical Freeze,WiiU,Retro Studios,Nintendo,1.52,0.7,0.55,0.16,0.12
Final Fantasy: Crystal Chronicles,GC,Square Enix,Nintendo,1.49,0.72,0.38,0.36,0.04
Mario Superstar Baseball,GC,Namco,Nintendo,1.46,0.93,0.24,0.25,0.04
Classic NES Series: Super Mario Bros.,GBA,Nintendo,Nintendo,1.43,0,0,1.39,0.03
The Legend of Zelda: The Minish Cap,GBA,Flagship,Nintendo,1.42,0.89,0.22,0.22,0.1
Yoshi's New Island,3DS,Arzest,Nintendo,1.38,0.48,0.53,0.28,0.09
Metroid: Other M,Wii,Team Ninja,Nintendo,1.34,0.85,0.27,0.13,0.1
Donkey Kong Jungle Beat,GC,Nintendo,Nintendo,1.34,0.84,0.22,0.24,0.04
Metroid Prime 2: Echoes,GC,Retro Studios,Nintendo,1.33,0.87,0.35,0.07,0.04
Yoshi's Woolly World,WiiU,Good-Feel,Nintendo,1.3,0.62,0.47,0.11,0.1
Pokemon Ranger: Guardian Signs,DS,Creatures Inc.,Nintendo,1.29,0.5,0.16,0.58,0.05
Kid Icarus: Uprising,3DS,"Opus, Project Sora",Nintendo,1.27,0.48,0.35,0.36,0.07
Pokemon Mystery Dungeon: Gates to Infinity,3DS,"Nintendo, Spike Chunsoft",Nintendo,1.27,0.44,0.29,0.47,0.07
Mystery Case Files: MillionHeir,DS,Griptonite Games,Nintendo,1.27,0.75,0.39,0,0.12
Pokemon XD: Gale of Darkness,GC,Genius Sonority Inc.,Nintendo,1.25,0.71,0.19,0.31,0.03
Pokemon Super Mystery Dungeon,3DS,"Spike Chunsoft Co. Ltd., Spike Chunsoft",Nintendo,1.25,0.48,0.35,0.34,0.08
Hyrule Warriors,WiiU,Omega Force,Nintendo,1.23,0.58,0.42,0.13,0.1
Donkey Kong Country 2,GBA,Rare Ltd.,Nintendo,1.23,0.79,0.27,0.12,0.04
Diddy Kong Racing DS,DS,Rare Ltd.,Nintendo,1.22,1.09,0.03,0,0.09
Mario Power Tennis,GC,Camelot Software Planning,Nintendo,1.22,0.58,0.16,0.46,0.03
Golden Sun: The Lost Age,GBA,Camelot Software Planning,Nintendo,1.22,0.61,0.27,0.27,0.07
Pikmin 2,GC,Nintendo,Nintendo,1.2,0.48,0.13,0.56,0.03
Captain Toad: Treasure Tracker,WiiU,Nintendo EAD Tokyo,Nintendo,1.19,0.53,0.38,0.19,0.09
Mario vs. Donkey Kong 2: March of the Minis,DS,"Nintendo, Nintendo Software Technology",Nintendo,1.19,0.73,0.03,0.36,0.07
PokéPark Wii: Pikachu's Adventure,Wii,Creatures Inc.,Nintendo,1.17,0.53,0.16,0.42,0.06
Mario vs. Donkey Kong,GBA,Nintendo,Nintendo,1.17,0.68,0.25,0.21,0.02
Donkey Konga,GC,Namco,Nintendo,1.15,0.5,0.16,0.46,0.03
Pokemon Rumble Blast,3DS,Ambrella,Nintendo,1.14,0.47,0.26,0.35,0.07
Fantasy Life,3DS,"Level 5, Brownie Brown",Nintendo,1.13,0.33,0.37,0.37,0.06
The Legend of Zelda: Tri Force Heroes,3DS,Nintendo,Nintendo,1.12,0.53,0.33,0.17,0.08
Pikmin 3,WiiU,Nintendo,Nintendo,1.11,0.44,0.32,0.29,0.07
Tales of Symphonia,GC,Namco,Nintendo,1.1,0.54,0.21,0.31,0.04
LEGO City Undercover,WiiU,TT Games,Nintendo,1.1,0.47,0.42,0.13,0.08
Star Fox: Assault,GC,Namco,Nintendo,1.08,0.68,0.18,0.19,0.03
Endless Ocean,Wii,Arika,Nintendo,1.06,0.43,0.46,0.09,0.09
Naruto: Clash of Ninja 2,GC,8ing/Raizing,Nintendo,1.04,0.44,0.12,0.45,0.03
F-Zero: Maximum Velocity,GBA,Nd Cube,Nintendo,1.04,0.39,0.16,0.37,0.12
Super Princess Peach,DS,TOSE,Nintendo,1.03,0.7,0.05,0.21,0.07
The Legend of Zelda: Twilight Princess HD,WiiU,"Tantalus Interactive, Tantatus, Nintendo",Nintendo,1.03,0.56,0.3,0.08,0.09
Pokemon Conquest,DS,Koei,Nintendo,1.02,0.56,0.05,0.37,0.04
Kirby: Mass Attack,DS,HAL Labs,Nintendo,0.99,0.48,0.06,0.41,0.05
Mario Party Advance,GBA,Hudson,Nintendo,0.98,0.5,0.19,0.28,0.02
Fire Emblem,GBA,Intelligent Systems,Nintendo,0.97,0.49,0.18,0.29,0.01
Mario Tennis Open,3DS,Camelot Software Planning,Nintendo,0.95,0.26,0.29,0.34,0.05
PilotWings Resort,3DS,Monster Games Inc.,Nintendo,0.95,0.4,0.36,0.13,0.07
Star Fox 64 3D,3DS,Nintendo,Nintendo,0.94,0.48,0.27,0.13,0.06
Kirby: Planet Robobot,3DS,HAL Labs,Nintendo,0.93,0.28,0.14,0.47,0.04
Disney Magical World,3DS,h.a.n.d. Inc.,Nintendo,0.92,0.17,0.2,0.53,0.03
Wii Play: Motion,Wii,Nintendo,Nintendo,0.92,0.23,0.42,0.18,0.09
Xenoblade Chronicles,Wii,Monolith Soft,Nintendo,0.91,0.43,0.25,0.16,0.07
Classic NES Series: The Legend of Zelda,GBA,Nintendo,Nintendo,0.89,0.46,0.17,0.24,0.02
Fire Emblem: The Sacred Stones,GBA,Intelligent Systems,Nintendo,0.89,0.42,0.16,0.3,0.02
Fossil Fighters,DS,RED Entertainment,Nintendo,0.89,0.83,0,0,0.06
Endless Ocean: Blue World,Wii,Arika,Nintendo,0.86,0.46,0.21,0.12,0.06
Wii Fit U,WiiU,Nintendo,Nintendo,0.85,0.35,0.23,0.21,0.05
The Legendary Starfy,DS,TOSE,Nintendo,0.85,0.6,0,0.2,0.05
Xenoblade Chronicles X,WiiU,Monolith Soft,Nintendo,0.84,0.36,0.28,0.14,0.06
Metroid: Zero Mission,GBA,Nintendo,Nintendo,0.84,0.6,0.22,0,0.01
The Legend of Zelda: Four Swords Adventures,GC,Nintendo,Nintendo,0.81,0.63,0.16,0,0.02
Golden Sun: Dark Dawn,DS,Camelot Software Planning,Nintendo,0.78,0.51,0.09,0.13,0.05
Donkey Kong Country 3,GBA,Rare Ltd.,Nintendo,0.77,0.45,0.17,0.14,0.01
Pokemon Dash,DS,Ambrella,Nintendo,0.77,0.21,0.14,0.38,0.04
Personal Trainer: Walking,DS,Nintendo,Nintendo,0.76,0.21,0.32,0.17,0.07
Tetris Party Deluxe,DS,"Tetris Online, Inc",Nintendo,0.76,0.28,0.3,0.12,0.07
Metroid Prime Hunters,DS,Nintendo,Nintendo,0.76,0.57,0.04,0.11,0.06
Bayonetta 2,WiiU,PlatinumGames,Nintendo,0.76,0.32,0.28,0.1,0.06
Professor Layton and the Azran Legacy,3DS,Level 5,Nintendo,0.75,0,0.48,0.25,0.03
PokePark 2: Wonders Beyond,Wii,Creatures Inc.,Nintendo,0.75,0.26,0.19,0.27,0.04
Sword of Mana,GBA,Brownie Brown,Nintendo,0.74,0.31,0.11,0.3,0.02
Classic NES Series: Donkey Kong,GBA,Nintendo,Nintendo,0.73,0.4,0.15,0.17,0.01
Style Savvy: Trendsetters,3DS,syn Sophia,Nintendo,0.73,0.16,0.02,0.53,0.01
Kirby: Canvas Curse,DS,HAL Labs,Nintendo,0.72,0.36,0,0.32,0.03
Advance Wars,GBA,Intelligent Systems,Nintendo,0.7,0.5,0.19,0,0.01
