Name,Platform,Developer,Publisher,Global_Sales,NA_Sales,EU_Sales,JP_Sales,Other_Sales
Super Swing Golf,Wii,"Tecmo, Ntreev Soft",Nintendo,0.22,0.14,0.01,0.07,0.01
Naruto Shippuden: Ninja Council 4,DS,"Aspect, Takara Tomy",Nintendo,0.22,0.08,0,0.13,0.01
Code Name: S.T.E.A.M.,3DS,Intelligent Systems,Nintendo,0.21,0.14,0.05,0.01,0.02
Heroes of Ruin,3DS,n-Space,Nintendo,0.21,0.13,0.07,0,0.02
Tekken 3D: Prime Edition,3DS,Arika,Nintendo,0.2,0.06,0.07,0.05,0.01
Solatorobo: Red the Hunter,DS,CyberConnect2,Nintendo,0.2,0.08,0.04,0.07,0.01
Disney's Magical Mirror Starring Mickey Mouse,GC,Capcom,Nintendo,0.19,0.15,0.04,0,0.01
Are You Smarter Than a 5th Grader? Back to School,Wii,THQ,Nintendo,0.19,0.18,0,0,0.01
Sudoku Gridmaster,DS,AI,Nintendo,0.17,0.13,0.02,0,0.01
Cubivore: Survival of the Fittest,GC,Nintendo,Nintendo,0.17,0.01,0,0.15,0
True Swing Golf,DS,T&E Soft,Nintendo,0.16,0.11,0,0.04,0.01
F-Zero: GP Legend,GBA,Suzak,Nintendo,0.16,0.11,0.04,0,0
Custom Robo Arena,DS,Noise Inc.,Nintendo,0.16,0.01,0.02,0.12,0
Geist,GC,n-Space,Nintendo,0.15,0.11,0.03,0,0
Mr. Driller: Drill Spirits,DS,Namco,Nintendo,0.14,0.08,0,0.05,0.01
Magnetica,DS,Mitchell,Nintendo,0.14,0.08,0.01,0.03,0.01
Kororinpa: Marble Mania,Wii,Hudson,Nintendo,0.13,0.08,0.02,0.03,0.01
ASH: Archaic Sealed Heat,DS,Mistwalker,Nintendo,0.12,0,0,0.12,0
Disney Art Academy,3DS,Headstrong Games,Nintendo,0.11,0.02,0.01,0.08,0
Fatal Frame: Maiden of Black Water,WiiU,Koei Tecmo Games,Nintendo,0.11,0,0.03,0.08,0
Odama,GC,Vivarium,Nintendo,0.11,0.07,0.02,0.02,0
Dynasty Warriors Advance,GBA,Koei,Nintendo,0.11,0.08,0.03,0,0
Brain Age: Concentration Training,3DS,Nintendo,Nintendo,0.09,0.09,0,0,0.01
Pokemon Rumble World,3DS,"Ambrella, The Pokemon Company",Nintendo,0.09,0,0.01,0.08,0
Touch Mechanic,DS,Kando Games,Nintendo,0.08,0.08,0,0,0.01
Zero: Tsukihami no Kamen,Wii,Grasshopper Manufacture,Nintendo,0.08,0,0,0.08,0
Disaster: Day of Crisis,Wii,Monolith Soft,Nintendo,0.07,0,0.02,0.04,0
Mario Tennis,Wii,Camelot Software Planning,Nintendo,0.07,0,0.06,0,0.01
Mario vs. Donkey Kong: Tipping Stars,3DS,"Nintendo, Nintendo Software Technology",Nintendo,0.06,0,0,0.06,0
Another Code R: A Journey into Lost Memories,Wii,Cing,Nintendo,0.06,0,0.03,0.03,0
Devil's Third,WiiU,Valhalla Game Studios,Nintendo,0.06,0.04,0.02,0,0.01
Metroid Prime: Federation Force,3DS,"Next Level Games, Nintendo",Nintendo,0.05,0.02,0.01,0.01,0
Electroplankton,DS,Indies Zero,Nintendo,0.03,0.01,0,0.02,0
Teddy Together,3DS,Arika,Nintendo,0.03,0,0.02,0,0
Mario vs. Donkey Kong: Tipping Stars,WiiU,"Nintendo, Nintendo Software Technology",Nintendo,0.01,0,0,0.01,0
Art Academy: Home Studio,WiiU,Headstrong Games,Nintendo,0.01,0,0,0.01,0
Fast Racing Neo ,WiiU,Shin'en,Nintendo,0.01,0,0.01,0,0
