Developer,Genre,Total_Global_Sales
Taito Corporation,Simulation,5.9
Atlus,Role-Playing,5.88
Team Bondi,Adventure,5.87
Namco,Shooter,5.82
Heavy Iron Studios,Action,5.81
Red Storm Entertainment,Shooter,5.81
Digital Eclipse,Platform,5.74
Amaze Entertainment,Action,5.72
EA Canada,Fighting,5.71
EA Bright Light,Action,5.7
Zoe Mode,Misc,5.67
KCET,Action,5.56
EA Chicago,Fighting,5.55
Team Ninja,Action,5.54
Intelligent Systems,Racing,5.47
Avalanche Software,Platform,5.44
Spark Unlimited,Shooter,5.41
Konami,Platform,5.4
Naughty Dog,Shooter,5.38
Genius Sonority Inc.,Role-Playing,5.37
Electronic Arts,Simulation,5.36
Naughty Dog,Racing,5.34
Ready at Dawn,Action,5.33
Altron,Action,5.32
Camelot Software Planning,Sports,5.22
Sega,Misc,5.06
Ubisoft Montpellier,Action,5.05
ArtePiazza,Role-Playing,5.02
Ubisoft Montpellier,Platform,5
"Neversoft Entertainment, BudCat",Misc,4.98
Virtual Toys,Simulation,4.98
Ghost Games,Racing,4.98
"Kojima Productions, Moby Dick Studio",Action,4.98
Bullfrog Productions,Strategy,4.96
EA Sports,Racing,4.96
Avalanche Software,Action,4.93
Quantic Dream,Adventure,4.93
"Naughty Dog, SCE/WWS",Action,4.92
Intelligent Systems,Strategy,4.91
Respawn Entertainment,Shooter,4.91
Ubisoft Montreal,Sports,4.91
Crytek,Action,4.87
Acquire,Action,4.82
EA Tiburon,Racing,4.71
Aki Corp.,Fighting,4.71
Fox Interactive,Racing,4.66
Eutechnyx,Racing,4.66
1st Playable Productions,Adventure,4.65
EA Montreal,Shooter,4.61
Exakt,Shooter,4.58
Monolith Soft,Role-Playing,4.57
Shaba Games,Sports,4.57
Namco,Racing,4.57
Vicarious Visions,Sports,4.54
Next Level Games,Sports,4.49
2K Marin,Shooter,4.49
NuFX,Sports,4.48
id Software,Shooter,4.48
5TH Cell,Puzzle,4.46
Team Ninja,Fighting,4.43
Rare Ltd.,Platform,4.4
Now Production,Action,4.35
Irrational Games,Shooter,4.31
ChunSoft,Role-Playing,4.29
From Software,Simulation,4.28
Jupiter Corporation,Role-Playing,4.24
Arkane Studios,Action,4.22
Ready at Dawn,Platform,4.21
EA Sports,Fighting,4.21
"Nintendo, Nd Cube",Misc,4.21
"SCEE, Zoe Mode",Misc,4.2
Electronic Arts,Racing,4.19
Nippon Ichi Software,Role-Playing,4.19
Electronic Arts,Shooter,4.19
WB Games Montreal,Action,4.17
"Warner Bros. Interactive Entertainment, NetherRealm Studios",Fighting,4.16
Visceral Games,Action,4.13
