Developer,Genre,Total_Global_Sales
Ubisoft Shanghai/Paris,Shooter,1.08
Titus Software,Simulation,1.07
SCEE,Sports,1.07
EA Games,Shooter,1.06
Nd Cube,Racing,1.06
Incognito Inc.,Simulation,1.06
Silicon Studio,Role-Playing,1.06
Hypnotix,Sports,1.06
Microsoft Game Studios,Racing,1.05
Eugen Systems,Strategy,1.05
Overkill Software,Shooter,1.05
Sega AM3,Sports,1.05
Evolution Games,Platform,1.05
Arika,Fighting,1.05
Sonic Team,Role-Playing,1.04
Tecmo,Action,1.04
MTO,Racing,1.04
Raven Software,Shooter,1.03
"Electronic Arts, EA Redwood Shores",Action,1.03
Avanquest Software,Misc,1.03
Marvelous,Role-Playing,1.03
Electronic Arts,Adventure,1.03
"Tantalus Interactive, Tantatus, Nintendo",Action,1.03
Mistwalker,Role-Playing,1.02
Koei,Role-Playing,1.02
"Sega, Dimps Corporation",Platform,1.02
Piranha Games,Sports,1.02
Eighting/Raizing,Fighting,1.02
"Team Ninja, Tecmo",Action,1.01
THQ Digital Studio Phoenix,Racing,1.01
Exakt,Action,1.01
Atlus,Adventure,1.01
Hyde,Adventure,1.01
Deibus Studios,Racing,1
EA Salt Lake,Shooter,1
EA Montreal,Misc,1
Midway Studios - Los Angeles,Action,1
Ubisoft,Strategy,0.99
DreamFactory,Action,0.99
Route 1 Games,Puzzle,0.99
Sega Studios San Francisco,Action,0.99
Sidhe Interactive,Racing,0.99
Page 44 Studios,Misc,0.99
Etranges Libellules,Adventure,0.98
Racjin,Fighting,0.98
Black Isle Studios,Role-Playing,0.98
Blitz Games Studios,Action,0.98
Rockstar London,Racing,0.98
Ratbag,Racing,0.97
GenePool,Platform,0.97
Illusion Softworks,Action,0.97
Koei Tecmo Games,Action,0.97
JGI Entertainment,Fighting,0.97
Pyramid,Fighting,0.96
"Vicarious Visions, Neversoft Entertainment",Misc,0.96
4A Games,Action,0.96
Overworks,Platform,0.96
Ubisoft Vancouver,Sports,0.96
3DO,Sports,0.95
SCEE London Studio,Adventure,0.95
High Voltage Software,Adventure,0.95
Monster Games Inc.,Simulation,0.95
TOSE,Action,0.95
Inti Creates,Platform,0.95
Brownie Brown,Role-Playing,0.95
Incognito Inc.,Action,0.95
Atari,Misc,0.95
SuperBot Entertainment,Action,0.95
Rockstar Vancouver,Action,0.94
Fuse Games Limited,Misc,0.94
"High Voltage Software, Backbone Entertainment",Adventure,0.94
Takara,Action,0.94
"Terminal Reality, 4mm Games",Misc,0.94
Buzz Monkey,Sports,0.94
Humongous Entertainment,Sports,0.93
"Shift, Bandai Namco Games",Action,0.93
Haemimont,Strategy,0.93
Full Fat,Action,0.93
AWE Games,Adventure,0.93
"Square Enix, h.a.n.d. Inc.",Role-Playing,0.93
Big Blue Bubble Inc.,Puzzle,0.93
Team 17,Puzzle,0.92
Take-Two Interactive,Misc,0.91
Avalanche Software,Fighting,0.91
Marvelous AQL,Action,0.91
Bandai,Role-Playing,0.9
Firebrand Games,Action,0.9
High Impact Games,Action,0.89
Arika,Simulation,0.89
Cing,Adventure,0.89
7 Studios,Misc,0.89
KCEK,Platform,0.89
Webfoot Technologies,Action,0.89
Brain Toys,Simulation,0.89
Compile Heart,Role-Playing,0.89
Kalypso,Simulation,0.89
Team Ninja,Sports,0.89
Gearbox Software,Misc,0.88
Keen Games,Action,0.88
WayForward,Adventure,0.88
Collision Studios,Sports,0.88
"Human Soft, Ivolgamus",Adventure,0.88
Warthog,Platform,0.88
SuperVillain Studios,Action,0.88
EA Games,Role-Playing,0.87
Rockstar London,Action,0.87
FASA Studio,Simulation,0.87
"Media Molecule, United Front Games",Action,0.87
SCi,Shooter,0.87
Toolbox Design,Racing,0.86
Ganbarion,Action,0.86
Cygames,Role-Playing,0.86
Secret Level,Simulation,0.86
T&E Soft,Sports,0.85
Gorilla Systems,Action,0.85
Page 44 Studios,Puzzle,0.85
Headstrong Games,Shooter,0.85
Land Ho!,Sports,0.85
Sega,Sports,0.85
SCEE London Studio,Sports,0.85
3DO,Action,0.84
"Climax Group, Climax Studios",Racing,0.84
MumboJumbo,Puzzle,0.84
Sega,Fighting,0.84
Visual Impact,Action,0.84
EA Montreal,Racing,0.83
Ubisoft Quebec,Misc,0.83
Digital Anvil,Shooter,0.83
"Harmonix Music Systems, Demiurge Studios",Misc,0.82
"Ubisoft, Sensory Sweep",Misc,0.82
"Treyarch, Sledgehammer Games",Shooter,0.82
"Ready at Dawn, SCE Santa Monica",Action,0.82
Activision,Shooter,0.81
"Red Storm Entertainment, Ubisoft Montreal",Shooter,0.81
SCEE,Adventure,0.81
Gevo Entertainment,Simulation,0.81
Asobo Studio,Platform,0.8
Blitz Games,Adventure,0.8
Amusement Vision,Action,0.8
Guerilla Cambridge,Shooter,0.8
Atlus,Simulation,0.8
Skyworks Technologies,Racing,0.79
Kuju Entertainment,Shooter,0.79
Rare Ltd.,Misc,0.79
Rainbow Studios,Sports,0.79
Point of View,Action,0.79
"Team 17, Two Tribes",Strategy,0.79
Q Entertainment,Shooter,0.78
Torus Games,Adventure,0.78
Shin'en,Shooter,0.78
Midway,Racing,0.78
"Machatin, Inc.",Simulation,0.78
Silicon Knights,Role-Playing,0.78
Toys for Bob,Sports,0.78
Eden Studios,Adventure,0.78
"Namco Bandai Games America, Namco Bandai Games",Action,0.78
"Sumo Digital, Playground Games",Racing,0.78
Trilobyte,Adventure,0.78
4A Games,Shooter,0.78
"Omega Force, Koei Tecmo Games",Action,0.77
"City Interactive, Deck 13",Role-Playing,0.77
Point of View,Shooter,0.77
Ambrella,Racing,0.77
Rare Ltd.,Shooter,0.77
Smack Down Productions,Misc,0.77
Saffire,Action,0.77
FUN Labs,Shooter,0.77
"Artificial Mind and Movement, Polygon Magic",Shooter,0.77
David A. Palmer Productions,Action,0.77
EA Chicago,Action,0.76
Piranha Games,Racing,0.76
Vicarious Visions,Adventure,0.76
Blitz Games Studios,Misc,0.76
Natsume,Simulation,0.76
Exient Entertainment,Misc,0.76
Black Lantern Studios,Action,0.76
"LucasArts, Red Fly Studio",Action,0.76
Opus,Fighting,0.75
Red Tribe,Action,0.75
Planet Moon Studios,Puzzle,0.75
High Voltage Software,Shooter,0.75
SCEA Sports Studio,Sports,0.75
Appaloosa Interactive,Action,0.75
KCEJ,Shooter,0.75
Creatures Inc.,Action,0.75
Artoon,Action,0.74
EA Bright Light,Racing,0.74
Etranges Libellules,Action,0.74
Stormfront Studios,Sports,0.74
Idol Minds,Sports,0.74
"Treyarch, Shaba Games",Action,0.74
Blitz Games,Simulation,0.74
Frogwares,Adventure,0.74
THQ,Platform,0.74
WBIE,Role-Playing,0.74
Kuju Entertainment,Strategy,0.74
Pam Development,Sports,0.73
Dearsoft,Sports,0.73
Totally Games,Simulation,0.73
Blue Shift,Sports,0.73
Amaze Entertainment,Adventure,0.73
MagicWand,Sports,0.73
"Idea Factory, Compile Heart",Role-Playing,0.73
Arcade Moon,Sports,0.73
Studio Gigante,Fighting,0.72
Webfoot Technologies,Adventure,0.72
"Zoe Mode, HB Studios Multimedia",Misc,0.72
Realism Ltd,Puzzle,0.72
EA Tiburon,Fighting,0.72
Saber Interactive,Shooter,0.72
Victor Interactive Software,Simulation,0.72
Volition Inc.,Role-Playing,0.72
Terminal Reality,Racing,0.72
Mastiff,Sports,0.72
"id Software, Nerve Software",Shooter,0.71
Equinoxe,Platform,0.71
Human Soft,Adventure,0.71
Inevitable Entertainment,Platform,0.71
Pipe Dream Interactive,Shooter,0.71
Virtucraft,Action,0.7
Gameloft,Puzzle,0.7
"SCEA, Sims",Platform,0.7
Visual Impact,Racing,0.7
"Eighting, Genius Sonority Inc.",Role-Playing,0.7
FUN Labs,Action,0.7
Gas Powered Games,Strategy,0.7
WayForward,Misc,0.7
Ubisoft Milan,Sports,0.69
Collision Studios,Action,0.69
Hypnos Entertainment,Action,0.69
RedLynx,Racing,0.69
Ubisoft Romania,Simulation,0.69
Remedy Entertainment,Shooter,0.69
Armature Studio,Action,0.69
Game Machine Studios,Action,0.68
Natsume,Fighting,0.68
"Z-Axis, Ltd.",Action,0.68
Tomy Corporation,Fighting,0.68
"BioWare, Demiurge Studios",Role-Playing,0.67
Magenta Software,Misc,0.67
Ignition Entertainment,Action,0.67
MachineGames,Action,0.67
Marvelous Inc.,Action,0.67
Exient Entertainment,Simulation,0.67
Skyworks Technologies,Misc,0.67
Trion Worlds,Role-Playing,0.67
"RED Entertainment, Artdink",Role-Playing,0.67
Psyonix,Sports,0.67
Triumph Studios,Action,0.67
Delphine Software International,Role-Playing,0.66
Locomotive Games,Action,0.66
3DO,Shooter,0.66
Lab Rats Games,Sports,0.66
Inti Creates,Action,0.66
Genius Sonority Inc.,Misc,0.66
Zombie Studios,Action,0.66
Indies Zero,Action,0.66
Cunning Developments,Simulation,0.66
Amusement Vision,Racing,0.65
Suzak,Platform,0.65
Argonaut Games,Shooter,0.65
"Krome Studios, Screenlife Games",Misc,0.65
"Dimps Corporation, SCE Japan Studio",Role-Playing,0.65
Yuke's,Adventure,0.65
Razorworks,Racing,0.65
Epicenter Studios,Action,0.64
Iron Galaxy Studios,Shooter,0.64
KCET,Platform,0.64
Takara Tomy,Fighting,0.64
Adrenium,Platform,0.64
KCEA,Misc,0.64
CyberConnect2,Action,0.64
GRIN,Platform,0.64
Computer Artworks,Adventure,0.64
Ubisoft Casablanca,Platform,0.64
Mistic Software,Sports,0.64
Exient Entertainment,Action,0.63
Spike Chunsoft,Action,0.63
Access Games,Role-Playing,0.63
Kuusou Kagaku,Role-Playing,0.63
"Media Vision, Contrail",Role-Playing,0.62
Paon Corporation,Racing,0.62
Eidos Interactive,Strategy,0.62
High Voltage Software,Simulation,0.62
Monumental Games,Racing,0.62
Point of View,Fighting,0.62
Hudson,Puzzle,0.62
Point of View,Racing,0.61
Take-Two Interactive,Adventure,0.61
KCEO,Sports,0.61
"Bandai Namco Games, Artdink",Role-Playing,0.61
Cinegroupe,Platform,0.61
Media Molecule,Adventure,0.61
THQ,Puzzle,0.61
Aki Corp.,Simulation,0.6
Ubisoft Shanghai,Platform,0.6
"Jellyvision, Iron Galaxy Studios",Misc,0.6
D3Publisher,Action,0.6
Natsume,Sports,0.6
Ryu ga Gotoku Studios,Shooter,0.6
Blitz Games,Sports,0.6
Treasure,Fighting,0.6
Argonaut Games,Platform,0.59
Backbone Vancouver,Misc,0.59
Virtual Toys,Misc,0.59
Konami,Racing,0.59
Coldwood Interactive,Fighting,0.59
Psygnosis,Racing,0.59
Intelligent Systems,Misc,0.59
"Ritual Entertainment, Avalanche Software",Shooter,0.59
Sensory Sweep,Misc,0.59
Dreamworks Games,Shooter,0.59
Xpec,Platform,0.59
Asobo Studio,Sports,0.58
Midway,Role-Playing,0.58
UFO Interactive,Misc,0.58
Sega,Strategy,0.58
Square Enix,Strategy,0.58
"Valuewave Co.,Ltd.",Action,0.58
Telegames,Misc,0.58
Blue Byte,Strategy,0.58
Lightning Fish Games,Sports,0.58
Eurocom Entertainment Software,Sports,0.58
Asobo Studio,Adventure,0.58
Tantatus,Action,0.58
Tamsoft,Action,0.58
Nixxes Software,Shooter,0.58
Beyond Games,Racing,0.58
Bits Studios,Action,0.58
D3Publisher,Misc,0.58
Stormfront Studios,Shooter,0.57
DONTNOD Entertainment,Adventure,0.57
"Cyanide, Cyanide Studios",Role-Playing,0.57
Human Head Studios,Action,0.57
Nex Entertainment,Role-Playing,0.57
Bunkasha Publishing,Racing,0.57
Q Entertainment,Puzzle,0.57
Asobo Studio,Racing,0.57
"EA Canada, EA Vancouver",Sports,0.57
DONTNOD Entertainment,Action,0.56
"Namco Bandai Games, Bandai Namco Games",Role-Playing,0.56
Full-Fat,Puzzle,0.56
Awesome Studios,Puzzle,0.56
Digital Illusions,Misc,0.56
Bullets,Role-Playing,0.56
"Farsight Studios, Crave",Sports,0.56
TOYBOX,Role-Playing,0.56
Backbone Entertainment,Role-Playing,0.56
ValuSoft,Misc,0.56
Vanilla Ware,Role-Playing,0.56
Sandlot,Shooter,0.56
Black Ops Entertainment,Fighting,0.56
EA Montreal,Sports,0.56
Sidhe Interactive,Sports,0.56
HotGen,Sports,0.56
Wideload Games Inc.,Misc,0.56
Paradigm Entertainment,Action,0.56
Nuevo Retro Games,Puzzle,0.55
Zoo Games,Shooter,0.55
Zoo Games,Racing,0.55
Hothouse Creations,Misc,0.55
Deep Space,Action,0.55
Bam Entertainment,Fighting,0.55
Eidos Montreal,Role-Playing,0.55
Data Design Interactive,Misc,0.54
Left Field Productions,Racing,0.54
Bec,Role-Playing,0.54
Warthog,Shooter,0.54
Blue Tongue Entertainment,Action,0.54
Incognito Inc.,Fighting,0.54
Neko Entertainment,Adventure,0.54
Altron,Misc,0.54
Treasure,Platform,0.54
Intelligent Systems,Action,0.54
Tecmo,Sports,0.54
Double Helix Games,Shooter,0.54
Cerasus Media,Misc,0.54
Keen Games,Simulation,0.54
War Drum Studios,Action,0.54
WXP,Shooter,0.54
Q-Games,Shooter,0.53
City Interactive,Adventure,0.53
SCEA San Diego Studios,Racing,0.53
WXP,Action,0.53
Storm City Games,Puzzle,0.53
"High Voltage Software, Ubisoft Paris",Shooter,0.53
Deep Silver Dambuster Studios,Shooter,0.53
Human Soft,Puzzle,0.53
Raster,Shooter,0.53
Taito Corporation,Shooter,0.53
Wow Entertainment,Shooter,0.53
"Mercury Steam, Alchemic Productions",Shooter,0.53
2K Games,Shooter,0.53
Microsoft Game Studios,Simulation,0.52
Ganbarion,Role-Playing,0.52
Bandai Namco Games,Action,0.52
VU Games,Adventure,0.52
Shift,Role-Playing,0.52
5pb,Adventure,0.52
Vivarium,Simulation,0.52
Bandai Namco Games,Puzzle,0.52
Mistic Software,Misc,0.52
InXile Entertainment,Action,0.52
Double Fine Productions,Misc,0.52
Examu,Fighting,0.52
Swordfish Studios,Shooter,0.51
Blade Interactive,Racing,0.51
HexaDrive,Role-Playing,0.51
"Factor 5, SCE/WWS",Action,0.51
PopCap,Strategy,0.51
"SCE Japan Studio, comcept",Role-Playing,0.51
Spike Chunsoft,Fighting,0.51
"Jupiter Corporation, Jupiter Multimedia",Role-Playing,0.51
Sanzaru Games,Action,0.51
Blue Tongue,Platform,0.5
Contraband Entertainment,Misc,0.5
Atari,Action,0.5
Quest,Role-Playing,0.5
Cavia Inc.,Sports,0.5
Spike Chunsoft,Misc,0.5
Sidhe Interactive,Action,0.5
Melbourne House,Racing,0.5
HandMade Game,Adventure,0.5
EA Canada,Action,0.5
FuRyu,Role-Playing,0.5
HAL Labs,Puzzle,0.49
Artdink,Fighting,0.49
Cauldron Ltd.,Shooter,0.49
SCS Software,Simulation,0.49
Volatile Games,Shooter,0.49
Revolution Software,Adventure,0.49
Haemimont,Simulation,0.49
Larian Studios,Role-Playing,0.49
Monkey Bar Games,Racing,0.49
Crave,Sports,0.49
Crave,Puzzle,0.49
Smilebit,Shooter,0.48
"Harmonix Music Systems, Backbone Entertainment",Misc,0.48
Marvelous AQL,Misc,0.48
Human Soft,Action,0.48
SScholastic Media,Adventure,0.48
Game Republic,Adventure,0.48
Destination Software,Racing,0.48
"Screenlife Games, WXP",Misc,0.48
Rare Ltd.,Action,0.48
Capcom,Misc,0.48
"Scholastic, Inc.",Adventure,0.48
Inland Productions,Racing,0.48
Radical Entertainment,Sports,0.48
Cattle Call,Role-Playing,0.48
TT Games,Adventure,0.47
Phantagram,Strategy,0.47
Teyon,Action,0.47
"Ubisoft Barcelona, Ubisoft Reflections",Racing,0.47
Starfish SD,Misc,0.47
Gaijin Entertainment,Action,0.47
Bizarre Creations,Action,0.47
Virtuos,Action,0.47
Digital Kids,Action,0.47
SCEJ,Puzzle,0.47
FASA Studio,Role-Playing,0.47
Blizzard Entertainment,Action,0.47
New,Fighting,0.47
"Eurocom Entertainment Software, Visceral Games",Shooter,0.47
TOSE,Sports,0.47
Starfish,Misc,0.47
Team Fusion,Sports,0.47
Namco,Platform,0.47
Vatra,Action,0.46
Brash Entertainment,Platform,0.46
"Luxoflux, Inc.",Racing,0.46
InXile Entertainment,Role-Playing,0.46
"Activision, FreeStyleGames",Misc,0.46
SCEA,Action,0.46
"Nintendo, Headstrong Games",Action,0.46
Creations,Platform,0.46
ZootFly,Action,0.46
Buzz Monkey,Action,0.46
Atari,Racing,0.46
Griptonite Games,Role-Playing,0.46
Crawfish Interactive,Racing,0.46
Artificial Mind and Movement,Misc,0.45
BudCat,Puzzle,0.45
GungHo,Role-Playing,0.45
Climax Group,Shooter,0.45
Torus Games,Action,0.45
Headstrong Games,Action,0.45
Farsight Studios,Sports,0.45
K2,Role-Playing,0.45
Now Production,Puzzle,0.45
Sims,Sports,0.45
Humagade,Simulation,0.44
"Square Enix, TOSE",Action,0.44
Tantalus Interactive,Simulation,0.44
Kuju Entertainment,Misc,0.44
Mucky Foot Productions,Action,0.44
Gusto Games,Puzzle,0.44
Silicon Knights,Adventure,0.44
Amuze,Action,0.44
Capcom,Racing,0.44
Now Production,Sports,0.44
Behaviour Interactive,Misc,0.44
Red Fly Studio,Misc,0.44
"Nintendo, Camelot Software Planning",Sports,0.44
Hijinx Studios,Puzzle,0.43
Hudson Soft,Puzzle,0.43
Hijinx Studios,Misc,0.43
Left Field Productions,Misc,0.43
Stainless Games,Misc,0.43
Warthog,Action,0.43
Sunrise Interactive,Simulation,0.43
Kamui,Role-Playing,0.43
Harmonix Music Systems,Sports,0.43
Artech Studios,Simulation,0.43
Tenyo,Puzzle,0.43
Paradigm Entertainment,Platform,0.43
SCEE,Action,0.43
Psygnosis,Simulation,0.42
Radical Entertainment,Puzzle,0.42
THQ,Simulation,0.42
Frontier Developments,Adventure,0.42
Pyro Studios,Action,0.42
Marvelous AQL,Simulation,0.42
Nadeo,Action,0.42
"Nintendo, Intelligent Systems",Role-Playing,0.42
"Rovio Mobile, Rovio Entertainment",Action,0.42
Triumph Studios,Strategy,0.42
Bluehole Studio,Role-Playing,0.42
AI,Puzzle,0.42
Disney Interactive,Platform,0.42
FireFly Studios,Strategy,0.42
Virtuos,Platform,0.42
Marvelous,Simulation,0.42
Virtuos,Sports,0.42
Phoenix Games Studio,Simulation,0.42
Nihilistic,Shooter,0.41
Knowledge Adventure Inc.,Adventure,0.41
Attention To Detail,Sports,0.41
Blitz Games Studios,Simulation,0.41
Land Ho!,Action,0.41
Activision,Adventure,0.41
Human Soft,Misc,0.41
EA Canada,Shooter,0.41
KCEJ,Simulation,0.41
2XL Games,Racing,0.41
LucasArts,Strategy,0.41
Maximum Games,Simulation,0.41
Backbone Entertainment,Platform,0.41
WayForward,Shooter,0.4
Tamsoft,Sports,0.4
Zen Studios,Action,0.4
Mitchell,Puzzle,0.4
Paon Corporation,Platform,0.4
Treasure,Shooter,0.4
1st Playable Productions,Puzzle,0.4
Destineer,Simulation,0.4
Black Ops Entertainment,Sports,0.4
Twisted Pixel Games,Shooter,0.4
Classic Media Distribution Limited,Adventure,0.4
Sonic Team,Puzzle,0.39
Powerhead Games,Sports,0.39
CokeM Interactive,Action,0.39
DC Studios,Platform,0.39
Left Field Productions,Sports,0.39
2K Games,Sports,0.39
Ubisoft Romania,Misc,0.39
Prope,Sports,0.39
"Frogwares, Mistic Software",Adventure,0.39
1st Playable Productions,Sports,0.39
Zoo Games,Misc,0.39
"Monolith Soft, Banpresto",Role-Playing,0.39
Uacari,Misc,0.38
Ambrella,Adventure,0.38
Ion Storm,Action,0.38
Beyond Reality,Racing,0.38
Cyberlore Studios,Strategy,0.38
Blue Fang Games,Strategy,0.38
Red Zone Entertainment,Sports,0.38
Ubisoft Casablanca,Action,0.38
"Blue Byte, Related Designs",Simulation,0.38
Nautilus,Role-Playing,0.38
Open Sesame,Sports,0.37
"Rocksteady Studios, Virtuos",Action,0.37
Spike Chunsoft,Role-Playing,0.37
Playbox Limited,Simulation,0.37
Noise Inc.,Role-Playing,0.37
Coresoft,Sports,0.37
Blueside,Role-Playing,0.37
Vivendi Games,Platform,0.37
Super X Studios,Shooter,0.37
Crafts & Meister,Fighting,0.37
CAProduction,Simulation,0.37
Atomic Planet Entertainment,Puzzle,0.37
Venom Games,Action,0.37
Big Blue Bubble Inc.,Adventure,0.37
Point of View,Misc,0.36
Blue Tongue Entertainment,Simulation,0.36
"RED Entertainment, Spike Chunsoft",Role-Playing,0.36
Zoo Games,Sports,0.36
Zener Works,Role-Playing,0.36
Pax Softonica,Action,0.36
Blue Tongue Entertainment,Fighting,0.36
Pseudo Interactive,Racing,0.36
Destination Software,Action,0.35
Vicious Cycle,Adventure,0.35
Vir2L Studios,Sports,0.35
Mass Media,Shooter,0.35
"Z-Axis, Ltd.",Shooter,0.35
Gratuitous Games,Sports,0.35
Pyro Studios,Strategy,0.35
Kylotonn,Action,0.35
Pocket Studios,Action,0.35
WildTangent,Misc,0.35
Hydravision,Adventure,0.35
NaturalMotion,Sports,0.35
Daedalic Entertainment,Adventure,0.35
ITL,Simulation,0.35
Sega,Simulation,0.35
Crystal Dynamics,Racing,0.34
Rebellion,Action,0.34
"Playlogic, The Game Factory",Action,0.34
Sennari Interactive,Action,0.34
Creat Studios,Action,0.34
Buena Vista Interactive,Racing,0.34
Artech Studios,Misc,0.34
Activision,Puzzle,0.34
Cohort Studios,Shooter,0.34
Impulse Games,Misc,0.34
Human Soft,Platform,0.34
"Ubisoft, Powerhead Games",Simulation,0.34
Core Design Ltd.,Simulation,0.34
Behaviour Interactive,Simulation,0.34
Destineer,Action,0.34
Presto Studios,Adventure,0.34
Software Creations,Sports,0.34
Smart Bomb Interactive,Action,0.33
Avanquest Software,Action,0.33
Mass Media,Action,0.33
Ion Storm,Shooter,0.33
"Tecmo, Ntreev Soft",Sports,0.33
AI,Sports,0.33
Natsume,Misc,0.33
Seta Corporation,Shooter,0.33
Fizz Factor,Action,0.33
"Capcom, Klein Computer Entertainment",Misc,0.33
SCEJ,Misc,0.33
Shift,Misc,0.33
"Rovio Mobile, Rovio Entertainment",Puzzle,0.33
Cave,Shooter,0.33
SunSoft,Adventure,0.33
"Lancarse, Atlus",Role-Playing,0.33
Venom Games,Sports,0.33
"Amaze Entertainment, Griptonite Games",Action,0.33
Career Soft,Role-Playing,0.33
Nobilis,Simulation,0.32
WideScreen Games,Shooter,0.32
Hijinx Studios,Action,0.32
CodeFire,Misc,0.32
"Game Republic, JapanStudio",Role-Playing,0.32
SCE Santa Monica,Racing,0.32
Nixxes Software,Adventure,0.32
Starbreeze,Adventure,0.32
"Buzz Monkey, EA Montreal",Shooter,0.32
"Atlus, Dingo Inc.",Misc,0.32
Lexis Numerique,Sports,0.32
Sanzaru Games,Adventure,0.32
EA Bright Light,Adventure,0.32
RedLynx,Strategy,0.32
Yacht Club Games,Platform,0.32
Webfoot Technologies,Sports,0.32
Pipe Dream Interactive,Action,0.32
Venom Games,Shooter,0.32
Polygon Magic,Fighting,0.32
Adrenium,Action,0.32
Griffin International,Sports,0.32
City Interactive,Action,0.32
Magellan Interactive,Puzzle,0.32
Big Red Button Entertainment,Action,0.31
Handheld Games,Misc,0.31
Rage Software,Racing,0.31
Humagade,Misc,0.31
Magix,Misc,0.31
IR Gurus,Simulation,0.31
Iron Galaxy Studios,Action,0.31
Konami,Strategy,0.31
Overworks,Role-Playing,0.31
Shade,Role-Playing,0.31
Wildfire Studios,Action,0.31
Ronin Entertainment,Fighting,0.31
eGames,Action,0.31
Visual Impact,Sports,0.31
Arika,Puzzle,0.31
Santa Cruz Games,Action,0.31
"Inti, Inti Creates",Platform,0.31
TimeGate Studios,Shooter,0.31
Experience Inc.,Role-Playing,0.31
Denyu-Sha,Puzzle,0.31
System 3,Platform,0.31
"Koei, Omega Force",Fighting,0.3
Graphic State,Racing,0.3
Sinister Games,Racing,0.3
Hudson Soft,Platform,0.3
Teyon,Shooter,0.3
Wizarbox,Simulation,0.3
Games Farm,Simulation,0.3
Deck 13,Role-Playing,0.3
Access Games,Action,0.3
Climax Group,Platform,0.3
Croteam,Shooter,0.3
Bigbig Studios,Platform,0.3
Related Designs,Simulation,0.3
Mahou,Sports,0.3
Outrage Games,Shooter,0.3
Prolific,Racing,0.3
Koolhaus Games,Sports,0.3
Interchannel,Puzzle,0.3
"Banpresto, SoftMax",Role-Playing,0.3
SCE Studio Cambridge,Adventure,0.3
Hyperspace Cowgirls,Platform,0.3
Idol Minds,Adventure,0.3
Simon & Schuster,Sports,0.29
LightBox Interactive,Action,0.29
Omega Force,Shooter,0.29
1st Playable Productions,Simulation,0.29
DoubleTap Games,Puzzle,0.29
"Valuewave Co.,Ltd.",Platform,0.29
Banpresto,Adventure,0.29
Spike,Role-Playing,0.29
Circus Freak,Racing,0.29
Bohemia Interactive,Shooter,0.29
Paon Corporation,Role-Playing,0.29
Cyanide,Sports,0.29
Cranky Pants Games,Action,0.29
Akella,Role-Playing,0.29
Crave,Simulation,0.29
Genuine Games,Fighting,0.29
Flight-Plan,Role-Playing,0.29
Media Vision,Action,0.29
FeelPlus,Action,0.29
City Interactive,Puzzle,0.29
WinkySoft,Adventure,0.29
Her Interactive,Adventure,0.29
Game Brains,Puzzle,0.29
Wargaming.net,Shooter,0.29
Cyberlore Studios,Simulation,0.29
Vicious Cycle,Puzzle,0.29
Cing,Strategy,0.29
Game Titan,Platform,0.29
ImaginEngine,Puzzle,0.29
"Neversoft Entertainment, Underground Development",Misc,0.29
SCEA,Racing,0.29
The Workshop,Action,0.29
Genki,Role-Playing,0.29
Sandlot,Action,0.28
Takara,Sports,0.28
Attention To Detail,Racing,0.28
Wow Entertainment,Sports,0.28
N-Fusion Interactive Entertainment Corp.,Action,0.28
Bandai,Fighting,0.28
Sega Toys,Simulation,0.28
Zindagi Games,Action,0.28
Planet Moon Studios,Shooter,0.28
Ubisoft Quebec,Sports,0.28
Spellbound,Role-Playing,0.28
Sanuk Games,Misc,0.28
Tecmo,Shooter,0.28
Disney Interactive,Action,0.28
Spiders,Role-Playing,0.28
Zoom,Shooter,0.28
"Disney Interactive Studios, Land Ho!",Misc,0.28
Pipe Dream Interactive,Platform,0.28
Bullets,Action,0.28
Stealth Studios,Racing,0.28
Liquid Entertainment,Action,0.28
Sensory Sweep,Platform,0.28
Paradigm Entertainment,Shooter,0.28
Renegade Kid,Shooter,0.28
Irem,Action,0.28
Acclaim Studios Cheltenham,Sports,0.28
"Mac Play, MacPlay",Puzzle,0.28
Arc System Works,Action,0.28
Sacnoth,Role-Playing,0.28
Land Ho!,Misc,0.28
Gogii Games,Adventure,0.28
Just Add Monsters,Fighting,0.28
The Learning Company,Misc,0.27
FeelPlus,Shooter,0.27
Taito Corporation,Role-Playing,0.27
Studio 33,Racing,0.27
Wow Entertainment,Racing,0.27
Majesco Games,Action,0.27
Cerasus Media,Puzzle,0.27
Jaleco Entertainment,Strategy,0.27
Loose Cannon Studios,Action,0.27
Amble,Action,0.27
Hitmaker,Racing,0.27
High Voltage Software,Strategy,0.27
Ornith,Sports,0.27
Swingin' Ape,Shooter,0.27
Powerhead Games,Misc,0.27
Arcade Moon,Simulation,0.27
Zerodiv,Role-Playing,0.27
Hudson Entertainment,Adventure,0.27
Opus,Sports,0.27
Heavy Iron Studios,Adventure,0.27
KCEJ,Role-Playing,0.27
Papaya Studios,Sports,0.27
Zono Inc.,Strategy,0.27
THQ Australia,Action,0.27
Opus,Racing,0.27
Buena Vista Games,Action,0.27
"GameMill Publishing, 1st Playable Productions",Misc,0.27
"Rockstar Toronto, Rockstar Leeds",Action,0.27
Microvision,Role-Playing,0.26
iWin,Simulation,0.26
2K Shanghai,Sports,0.26
SNK Playmore,Misc,0.26
Metro,Misc,0.26
Pivotal Games,Action,0.26
Pacific Century Cyber Works,Misc,0.26
Free Radical Design,Adventure,0.26
Namco Bandai Games,Action,0.26
Dreamcatcher,Action,0.26
Spike,Racing,0.26
Seven45 Studios,Misc,0.26
