Name,Year_of_Release,Global_Sales,User_Score,Critic_Score
Wii Sports,2006,82.53,8,76
Mario Kart Wii,2008,35.52,8.3,82
Wii Sports Resort,2009,32.77,8,80
New Super Mario Bros.,2006,29.8,8.5,89
Wii Play,2006,28.92,6.6,58
New Super Mario Bros. Wii,2009,28.32,8.4,87
Mario Kart DS,2005,23.21,8.6,91
Wii Fit,2007,22.7,7.7,80
Kinect Adventures!,2010,21.81,6.3,61
Wii Fit Plus,2009,21.79,7.4,80
Grand Theft Auto V,2013,21.04,8.2,97
Grand Theft Auto: San Andreas,2004,20.81,9,95
Brain Age: Train Your Brain in Minutes a Day,2005,20.15,7.9,77
Grand Theft Auto V,2013,16.27,8.1,97
Grand Theft Auto: Vice City,2002,16.15,8.7,95
Brain Age 2: More Training in Minutes a Day,2005,15.29,7.1,77
Gran Turismo 3: A-Spec,2001,14.98,8.4,95
Call of Duty: Modern Warfare 3,2011,14.73,3.4,88
Call of Duty: Black Ops,2010,14.61,6.3,87
Call of Duty: Black Ops II,2012,13.79,5.3,83
Call of Duty: Black Ops II,2012,13.67,4.8,83
Call of Duty: Modern Warfare 2,2009,13.47,6.3,94
Call of Duty: Modern Warfare 3,2011,13.32,3.2,88
Grand Theft Auto III,2001,13.1,8.5,97
Super Smash Bros. Brawl,2008,12.84,8.9,93
Mario Kart 7,2011,12.66,8.2,85
Call of Duty: Black Ops,2010,12.63,6.4,88
Grand Theft Auto V,2014,12.61,8.3,97
Animal Crossing: Wild World,2005,12.13,8.7,86
Halo 3,2007,12.12,7.8,94
Gran Turismo 4,2004,11.66,8.5,89
Super Mario Galaxy,2007,11.35,8.9,97
Grand Theft Auto IV,2008,11.01,7.9,98
Gran Turismo,1997,10.95,8.7,96
Super Mario 3D Land,2011,10.81,8.4,90
Gran Turismo 5,2010,10.7,7.5,84
Call of Duty: Modern Warfare 2,2009,10.6,6.3,94
Grand Theft Auto IV,2008,10.5,7.5,98
Call of Duty: Ghosts,2013,10.25,2.6,73
Just Dance 3,2011,10.12,7.8,74
New Super Mario Bros. 2,2012,9.9,7.2,78
Halo: Reach,2010,9.86,7.9,91
Final Fantasy VII,1997,9.72,9.2,92
Halo 4,2012,9.71,7,87
Gran Turismo 2,1999,9.49,9,93
Just Dance 2,2010,9.44,7.3,74
Call of Duty: Ghosts,2013,9.36,2.6,71
Call of Duty 4: Modern Warfare,2007,9.31,8.4,94
Animal Crossing: New Leaf,2012,9.16,8.7,88
Mario Party DS,2007,8.91,7.8,72
The Elder Scrolls V: Skyrim,2011,8.79,8.4,96
FIFA 16,2015,8.57,4.3,82
Halo 2,2004,8.49,8.2,95
Wii Party,2010,8.38,7.4,68
Mario Party 8,2007,8.27,6.3,62
FIFA Soccer 13,2012,8.16,6.6,88
Final Fantasy X,2001,8.05,8.7,92
The Sims 3,2009,8.01,7.6,86
Final Fantasy VIII,1999,7.86,8.6,90
Pokémon Platinum Version,2008,7.72,8.5,83
Grand Theft Auto: Liberty City Stories,2005,7.69,7.6,88
Call of Duty: Advanced Warfare,2014,7.66,5.7,83
FIFA 17,2016,7.59,5,85
Super Mario Galaxy 2,2010,7.51,9.1,97
Call of Duty: World at War,2008,7.38,7.6,84
Battlefield 3,2011,7.32,7.4,84
Need for Speed Underground,2003,7.2,8.6,85
Just Dance,2009,7.2,8,49
Battlefield 3,2011,7.17,7.5,85
Fallout 4,2015,7.16,6.5,87
Tekken 3,1998,7.16,9.1,96
The Legend of Zelda: Twilight Princess,2006,7.15,9,95
Crash Bandicoot 3: Warped,1998,7.13,8.9,91
Mario Kart 8,2014,7.09,9.1,88
Super Smash Bros. Melee,2001,7.07,9.1,92
Need for Speed Underground 2,2004,6.9,8.6,82
Medal of Honor: Frontline,2002,6.83,8.5,88
Just Dance 4,2012,6.76,7.3,74
Gears of War 2,2008,6.75,7.7,93
Uncharted 3: Drake's Deception,2011,6.74,8.3,92
Call of Duty 4: Modern Warfare,2007,6.68,8.4,94
Uncharted 2: Among Thieves,2009,6.66,8.8,96
Big Brain Academy,2005,6.62,7.4,74
Red Dead Redemption,2010,6.49,8.8,95
FIFA 14,2013,6.47,4.3,86
Assassin's Creed III,2012,6.45,6.9,85
Donkey Kong Country Returns,2010,6.44,8.6,87
Halo: Combat Evolved,2001,6.43,8.6,97
The Elder Scrolls V: Skyrim,2011,6.41,6.4,92
Pokémon Emerald Version,2004,6.41,9,76
Kingdom Hearts,2002,6.4,8.8,85
Halo 3: ODST,2009,6.34,7.1,83
Red Dead Redemption,2010,6.32,9,95
Super Mario Sunshine,2002,6.31,8.6,92
World of Warcraft,2004,6.29,7.3,93
Driver,1999,6.27,8.1,87
Gears of War 3,2011,6.21,7.8,91
Kinect Sports,2010,6.19,7.4,73
Gears of War,2006,6.09,8.3,94
FIFA 15,2014,6.08,5.7,82
Metal Gear Solid 2: Sons of Liberty,2001,6.05,8.7,96
Metal Gear Solid,1998,6.03,9.4,94
Metal Gear Solid 4: Guns of the Patriots,2008,5.99,8.7,94
Final Fantasy XII,2006,5.95,7.6,92
The Last of Us,2013,5.87,9.1,95
LittleBigPlanet,2008,5.82,6.8,95
Resident Evil 2,1998,5.82,9.2,89
Dragon Quest IX: Sentinels of the Starry Skies,2009,5.78,8.8,87
Tekken 2,1996,5.74,8.9,89
Destiny,2014,5.64,6.1,76
LEGO Star Wars: The Complete Saga,2007,5.64,8.9,80
Cooking Mama,2006,5.63,7.2,67
Assassin's Creed II,2009,5.55,8.6,91
Assassin's Creed,2007,5.54,7.7,81
Forza Motorsport 3,2009,5.49,8,92
Super Mario Advance,2001,5.49,7.8,84
Monster Hunter Freedom Unite,2008,5.48,8.7,81
Batman: Arkham City,2011,5.48,8.6,96
Grand Theft Auto V,2014,5.48,7.9,97
Mario Kart: Super Circuit,2001,5.47,8.3,93
Crash Bandicoot: The Wrath of Cortex,2001,5.42,7.1,66
Call of Duty: World at War,2008,5.39,7.6,85
Uncharted 4: A Thief's End,2016,5.38,7.9,93
Final Fantasy XIII,2009,5.33,7.3,83
Final Fantasy IX,2000,5.3,8.9,94
Assassin's Creed III,2012,5.29,6.7,84
Final Fantasy X-2,2003,5.29,6.6,85
Call of Duty: Advanced Warfare,2014,5.27,5.4,81
Assassin's Creed II,2009,5.26,8.8,90
New Super Mario Bros. U,2012,5.22,8.1,84
Dragon Quest VIII: Journey of the Cursed King,2004,5.21,8.8,89
Professor Layton and the Curious Village,2007,5.19,8.6,85
FIFA Soccer 13,2012,5.16,6.1,90
Diablo III,2012,5.14,4,88
Medal of Honor: Rising Sun,2003,5.13,7.6,68
Guitar Hero II,2006,5.12,8.5,92
Fable III,2010,5.1,6.5,80
Resident Evil 5,2009,5.09,7.5,84
The Legend of Zelda: Phantom Hourglass,2007,5.08,8,90
FIFA Soccer 11,2010,5.07,8,89
Resident Evil,1996,5.05,9,91
Grand Theft Auto: Vice City Stories,2006,5.03,8,86
Tony Hawk's Pro Skater,1999,5.02,9.2,92
Guitar Hero III: Legends of Rock,2007,4.98,8.2,82
Link's Crossbow Training,2007,4.98,7.1,68
Fallout 3,2008,4.93,8.5,93
Uncharted: Drake's Fortune,2007,4.92,8.1,88
Madden NFL 06,2005,4.91,8,88
StarCraft II: Wings of Liberty,2010,4.84,8.2,93
Assassin's Creed,2007,4.82,7.3,81
God of War III,2010,4.8,8.7,92
Crash Team Racing,1999,4.79,9,88
LEGO Star Wars: The Complete Saga,2007,4.76,5.4,80
Driver 2,2000,4.73,7.7,62
Batman: Arkham City,2011,4.73,8.7,94
Tony Hawk's Pro Skater 2,2000,4.68,7.7,98
The Lord of the Rings: The Two Towers,2002,4.67,8.2,82
Tomb Raider,1996,4.63,8.6,91
Animal Crossing: City Folk,2008,4.62,7.6,73
Uncharted: The Nathan Drake Collection,2015,4.62,8.1,86
The Legend of Zelda: The Wind Waker,2002,4.6,8.9,96
Guitar Hero III: Legends of Rock,2007,4.6,8.4,86
Luigi's Mansion: Dark Moon,2013,4.59,8.4,86
Forza Motorsport 4,2011,4.57,8.2,91
Madden NFL 2005,2004,4.53,7.9,91
Guitar Hero III: Legends of Rock,2007,4.53,7.9,85
Madden NFL 07,2006,4.49,8.2,84
Halo 5: Guardians,2015,4.48,6.4,84
Spider-Man: The Movie,2002,4.48,7.9,76
Call of Duty: Infinite Warfare,2016,4.46,3.4,77
God of War,2005,4.45,8.9,94
Splatoon,2015,4.43,8.5,81
Nintendo Land,2012,4.42,7.9,77
Tony Hawk's Pro Skater 3,2001,4.41,7.5,97
Winning Eleven: Pro Evolution Soccer 2007,2006,4.39,8.9,86
The Elder Scrolls IV: Oblivion,2006,4.38,8.7,94
Need for Speed: Most Wanted,2005,4.37,9.1,82
Michael Jackson: The Experience,2010,4.36,8.3,56
Resistance: Fall of Man,2006,4.34,8.1,86
Kingdom Hearts II,2005,4.33,9,87
Super Mario 3D World,2013,4.32,9,93
Fable II,2008,4.27,6.5,89
Namco Museum,2001,4.24,7.3,79
Batman: Arkham Asylum,2009,4.23,8.9,91
Metal Gear Solid 3: Snake Eater,2004,4.23,9.3,91
Assassin's Creed: Revelations,2011,4.22,7.5,80
Fallout 4,2015,4.22,6.2,88
FIFA 14,2013,4.22,4.2,84
Daxter,2006,4.21,8.7,85
FIFA Soccer 06,2005,4.21,7.8,80
EyeToy Play,2003,4.2,7.5,80
Gran Turismo 5 Prologue,2007,4.19,7.1,80
Assassin's Creed: Revelations,2011,4.19,7.2,80
Street Fighter IV,2009,4.16,7.3,94
Madden NFL 2003,2002,4.14,7.7,95
Half-Life,1997,4.12,9.1,96
World of Warcraft: The Burning Crusade,2007,4.09,7.9,91
Battlefield 1,2016,4.08,8.4,88
God of War II,2007,4.07,8.9,93
Fallout: New Vegas,2010,4.05,8.1,84
Forza Motorsport 2,2007,4.05,8.3,90
Carnival Games,2007,4.05,6,56
Watch Dogs,2014,4.05,6.3,80
Tekken Tag Tournament,2000,4.05,8.5,85
Far Cry 4,2014,4.04,7.7,85
Left 4 Dead 2,2009,3.97,8.6,89
The Witcher 3: Wild Hunt,2015,3.97,9.2,92
Assassin's Creed: Unity,2014,3.96,4.9,70
Batman: Arkham Knight,2015,3.95,7.6,87
The Legend of Zelda: Skyward Sword,2011,3.95,8,93
Fallout 3,2008,3.94,8,90
Professor Layton and the Diabolical Box,2007,3.94,8.8,84
EA Sports Active,2009,3.9,8.7,81
Tony Hawk's Underground,2003,3.9,8.7,90
Monster Hunter 4 Ultimate,2014,3.89,8.7,86
The Elder Scrolls V: Skyrim,2011,3.88,8.1,94
NBA 2K16,2015,3.88,6.7,87
Tekken 5,2005,3.87,8.6,88
MotorStorm,2006,3.87,7.4,84
World Soccer Winning Eleven 8 International,2004,3.85,9.1,91
Sports Champions,2010,3.84,7.9,76
Call of Duty: Ghosts,2013,3.83,3.7,78
Flash Focus: Vision Training in Minutes a Day,2007,3.83,4,59
Tom Clancy's The Division,2016,3.8,7,80
Big Brain Academy: Wii Degree,2007,3.79,6.9,68
LEGO Indiana Jones: The Original Adventures,2008,3.76,7.5,77
The Sims: Unleashed,2002,3.76,8,79
Harry Potter and the Sorcerer's Stone,2001,3.73,7.5,64
Super Paper Mario,2007,3.71,7.9,85
Spyro: Year of the Dragon,2000,3.71,8.8,91
Assassin's Creed IV: Black Flag,2013,3.71,8.1,88
FIFA Soccer 2005,2004,3.7,7.6,81
Tony Hawk's Pro Skater 4,2002,3.67,8.5,94
MySims,2007,3.66,7.3,67
Midnight Club 3: DUB Edition,2005,3.65,8.4,74
SOCOM: U.S. Navy SEALs,2002,3.65,7.9,82
Jak and Daxter: The Precursor Legacy,2001,3.64,8.7,90
Pro Evolution Soccer 2008,2007,3.63,7.9,82
Resident Evil 4,2005,3.62,8.9,96
Guitar Hero: World Tour,2008,3.62,7.6,86
FIFA Soccer 10,2009,3.62,7.6,91
Star Wars: Battlefront,2004,3.61,8.7,82
The Simpsons: Road Rage,2001,3.61,7.7,64
Luigi's Mansion,2001,3.6,8.5,78
Battlefield 4,2013,3.59,6.9,85
Star Wars: Battlefront II,2005,3.59,9,84
Cooking Mama 2: Dinner With Friends,2007,3.58,8,70
Grand Theft Auto: Liberty City Stories,2006,3.54,7.8,78
The Getaway,2002,3.54,6.8,72
James Bond 007: Agent Under Fire,2001,3.53,7.9,72
FIFA Soccer 11,2010,3.52,7.5,88
Left 4 Dead,2008,3.51,7.9,89
Assassin's Creed: Unity,2014,3.5,4.1,72
Resident Evil 5,2009,3.5,7.5,83
Assassin's Creed: Brotherhood,2010,3.49,8.3,89
Battlefield 4,2013,3.49,5.8,80
Batman: Arkham Asylum,2009,3.48,8.7,92
Battlefield 4,2013,3.48,5.6,79
Battlefield: Bad Company 2,2010,3.47,8.6,88
Guitar Hero: On Tour,2008,3.46,8.8,71
Clubhouse Games,2006,3.45,8.4,83
Borderlands,2009,3.44,8.2,84
Tekken 4,2002,3.44,8.3,79
Grand Theft Auto 2,1998,3.42,8,70
Metal Gear Solid V: The Phantom Pain,2015,3.41,8.2,93
Spider-Man 2,2004,3.41,8.9,80
FIFA Soccer 2003,2002,3.4,6.7,88
LittleBigPlanet 2,2011,3.39,8.4,91
Crash Bash,2000,3.39,8.2,68
Assassin's Creed Syndicate,2015,3.39,6.8,76
LEGO Batman: The Videogame,2008,3.38,7.9,76
Destiny,2014,3.37,5.5,75
Far Cry 3,2012,3.35,8.5,90
James Bond 007: Nightfire,2002,3.33,8.5,77
Star Wars Episode III: Revenge of the Sith,2005,3.32,7.2,60
The Legend of Zelda: Spirit Tracks,2009,3.31,7.8,87
Max Payne,2001,3.31,8.5,80
Assassin's Creed IV: Black Flag,2013,3.3,7.9,86
The Lord of the Rings: The Return of the King,2003,3.28,8.7,85
Gears of War: Ultimate Edition,2015,3.28,7.5,82
True Crime: Streets of LA,2003,3.27,8,77
Professor Layton and the Unwound Future,2008,3.26,9.2,86
FIFA 16,2015,3.25,4.4,84
Wii Music,2008,3.25,4.6,63
Madden NFL 16,2015,3.24,5.9,83
Gran Turismo 6,2013,3.23,7.7,81
Halo: The Master Chief Collection,2014,3.23,7.2,85
Super Mario Maker,2015,3.21,8.7,88
God of War: Chains of Olympus,2008,3.18,8.6,91
Enter the Matrix,2003,3.18,8.1,62
Crisis Core: Final Fantasy VII,2007,3.18,8,83
Dance Central,2010,3.17,7.6,82
L.A. Noire,2011,3.17,7.7,89
Ace Combat 04: Shattered Skies,2001,3.17,9.1,89
Animal Crossing,2001,3.15,8.9,87
FIFA Soccer 08,2007,3.14,6.5,83
Spider-Man,2000,3.13,9,87
Mario Party 9,2012,3.13,6.8,73
Sonic Rush,2005,3.12,8.5,82
Rhythm Heaven,2008,3.11,9,83
Fallout: New Vegas,2010,3.11,7.8,82
Personal Trainer: Cooking,2006,3.11,7.8,81
The Elder Scrolls IV: Oblivion,2007,3.1,8,93
The Legend of Zelda: A Link Between Worlds,2013,3.1,8.9,91
Resident Evil 6,2012,3.1,5.4,74
Mass Effect 2,2010,3.1,8.9,96
Dragon Ball Z: Budokai,2002,3.09,7.9,67
Madden NFL 2002,2001,3.08,7.9,94
The Sims: Vacation,2002,3.07,7.8,75
Animal Crossing: Happy Home Designer,2015,3.05,6.9,66
The Sims 4,2014,3.05,3.9,70
Borderlands 2,2012,3.05,8.2,89
LEGO Batman: The Videogame,2008,3.05,8,72
Kung Fu Panda,2008,3.04,7.4,75
Mass Effect 3,2012,3.04,5.8,93
Heavy Rain,2010,3.03,7.7,87
Saints Row 2,2008,3.03,8.1,81
Tom Clancy's Splinter Cell,2002,3.02,8.5,93
FIFA 14,2013,3.01,6.3,87
Killzone 2,2009,3.01,8.1,91
Far Cry 3,2012,3,8.6,91
Epic Mickey,2010,3,7,73
NBA 2K13,2012,3,7.2,88
Dragon Ball Z: Budokai Tenkaichi 3,2007,3,9.2,73
The Sims: Livin Large,2000,2.99,6.6,82
World Soccer Winning Eleven 6 International,2002,2.99,9.1,93
Devil May Cry,2001,2.99,8.5,94
Star Wars: The Old Republic,2011,2.96,5.9,85
Middle-Earth: Shadow of Mordor,2014,2.96,8.1,84
Sonic Heroes,2003,2.96,7.8,64
Hitman 2: Silent Assassin,2002,2.96,7.8,85
Titanfall,2014,2.95,6.4,86
Battlefield: Bad Company 2,2010,2.95,8.5,88
SOCOM II: U.S. Navy SEALs,2003,2.94,9,87
Pac-Man Collection,2001,2.94,7.8,79
Street Fighter IV,2009,2.94,7.3,93
inFAMOUS,2009,2.93,8.3,85
Kirby Super Star Ultra,2008,2.92,8.8,76
Call of Duty: Ghosts,2013,2.92,4.3,78
Mass Effect,2007,2.91,8.7,91
Sonic Mega Collection Plus,2004,2.9,8.6,73
World Soccer Winning Eleven 7 International,2003,2.9,9,93
Sega Superstars Tennis,2008,2.89,6.8,67
Hot Shots Golf 3,2001,2.89,8.9,85
Cooking Mama: Cook Off,2007,2.89,5.3,61
Call of Duty: Finest Hour,2004,2.89,7.7,76
WarioWare: Smooth Moves,2006,2.89,7.4,83
Madden NFL 13,2012,2.86,5.8,81
The Elder Scrolls III: Morrowind,2002,2.86,8.7,87
Assassin's Creed IV: Black Flag,2013,2.85,7.8,83
Mortal Kombat,2011,2.84,8.4,84
Madden NFL 10,2009,2.83,6.1,85
BioShock,2007,2.83,8.9,96
Metroid Prime,2002,2.82,9.3,97
Assassin's Creed: Brotherhood,2010,2.82,8.2,90
Medal of Honor,2010,2.81,7.5,75
inFAMOUS: Second Son,2014,2.79,7.9,80
NBA Street,2001,2.79,8.6,89
Jak II,2003,2.78,8.2,87
Need for Speed: Hot Pursuit,2010,2.78,7.2,89
Skylanders: Spyro's Adventure,2011,2.78,5.6,81
Battlefield 3,2011,2.78,7.5,89
Mortal Kombat X,2015,2.78,7.7,83
The Sims,2003,2.77,7.7,83
Killzone 3,2011,2.77,7.9,84
Star Wars: The Force Unleashed,2008,2.77,6.7,73
Yoshi's Island DS,2006,2.76,7.4,81
Saints Row: The Third,2011,2.76,7.6,84
Tekken 6,2009,2.75,7.4,79
Sonic and the Secret Rings,2007,2.73,6.6,69
The Legend of Zelda: A Link to the Past,2002,2.7,9.1,95
Onimusha: Warlords,2001,2.7,8.2,86
L.A. Noire,2011,2.7,7.8,89
Call of Duty 3,2006,2.7,6.5,82
Madden NFL 12,2011,2.69,5.9,78
LEGO Star Wars II: The Original Trilogy,2006,2.69,9,84
Killzone: Shadow Fall,2013,2.69,6.8,73
Madden NFL 11,2010,2.69,5.7,84
Burnout 3: Takedown,2004,2.68,9.1,93
Mario vs. Donkey Kong: Mini-Land Mayhem!,2010,2.67,7.7,79
Professor Layton and the Last Specter,2009,2.67,8.7,83
Call Of Duty 2: Big Red One,2005,2.67,8.2,77
Medal of Honor,1998,2.67,8.6,92
Fable,2004,2.66,8.5,85
Guitar Hero: World Tour,2008,2.66,6.3,85
FIFA 17,2016,2.65,5.5,84
Tom Clancy's Splinter Cell,2003,2.65,7.7,89
Need for Speed: Shift,2009,2.65,6.9,84
Medal of Honor Heroes,2006,2.65,7.9,71
Final Fantasy XIII-2,2011,2.63,6.6,79
Midnight Club: Street Racing,2000,2.63,7.8,78
Skate 3,2010,2.63,8,80
ESPN NFL 2K5,2004,2.62,8.2,90
Halo Wars,2009,2.62,7.2,82
NBA 2K12,2011,2.62,7.7,90
FIFA Soccer 10,2009,2.62,7.5,90
Medal of Honor,2010,2.61,6.7,74
Harry Potter and the Chamber of Secrets,2002,2.61,7.6,71
God of War Collection,2009,2.6,8.7,91
NBA Live 2005,2004,2.59,8.1,84
Mario Strikers Charged,2007,2.58,8,79
FIFA Soccer 09,2008,2.58,7.5,87
Style Savvy,2008,2.58,7.7,73
WWE SmackDown vs. RAW 2007,2006,2.58,8.6,80
LEGO Star Wars: The Complete Saga,2007,2.57,7.4,80
Madden NFL 08,2007,2.57,7.8,78
Monster Hunter Freedom 2,2007,2.57,8.7,72
Sonic Adventure 2 Battle,2001,2.56,8.3,73
Madden NFL 13,2012,2.56,5.5,83
Dragon Age: Origins,2009,2.56,7.9,86
Pokémon Colosseum,2003,2.54,8,73
LittleBigPlanet,2009,2.54,7.8,87
Madden NFL 09,2008,2.53,7,83
Crazy Taxi,2001,2.52,7.9,80
Art Academy,2010,2.52,8,75
NBA 2K14,2013,2.52,4.9,87
Skylanders Giants,2012,2.52,7,78
Deca Sports,2008,2.5,5.4,50
Marvel: Ultimate Alliance,2006,2.5,7.5,82
Mortal Kombat: Deadly Alliance,2002,2.49,8.8,79
Game Party,2007,2.48,4.3,25
Bloodborne,2015,2.48,8.6,92
Mario Party 4,2002,2.47,7.4,70
Pure,2008,2.47,7.7,85
NBA 2K13,2012,2.47,8,90
Saints Row: The Third,2011,2.47,7.7,82
Resistance 2,2008,2.46,6.1,87
NBA 2K15,2014,2.45,7,83
Final Fantasy Tactics,1997,2.45,8.2,83
Midnight Club: Los Angeles,2008,2.45,8.2,82
The Sims: Bustin' Out,2003,2.43,8.4,81
LEGO Harry Potter: Years 1-4,2010,2.43,8,79
Call of Duty: Infinite Warfare,2016,2.42,3.1,78
Madden NFL 16,2015,2.42,6.1,84
Tom Clancy's Rainbow Six: Vegas 2,2008,2.42,7.8,82
Need for Speed Carbon: Own the City,2006,2.42,7.9,73
Dragon Ball Z: Budokai 2,2003,2.41,8.2,66
pro evolution soccer 2011,2010,2.41,6.8,77
ATV Offroad Fury,2001,2.41,8.4,82
Need for Speed: ProStreet,2007,2.41,6.2,62
Halo: Combat Evolved Anniversary,2011,2.4,8.1,82
Guitar Hero,2005,2.38,8.7,91
Madden NFL 11,2010,2.38,6.1,83
Dead Island,2011,2.37,6.9,71
Half-Life 2,2004,2.37,9.1,96
The Incredibles,2004,2.37,7.6,62
Madden NFL 08,2007,2.37,6.4,85
Tony Hawk's Underground 2,2004,2.37,8.8,83
Zumba Fitness,2010,2.37,5.5,42
Madden NFL 10,2009,2.37,6.8,85
Midnight Club: Los Angeles,2008,2.35,8.5,81
Kinect: Disneyland Adventures,2011,2.35,2.9,73
WWE SmackDown vs Raw 2008,2007,2.34,7.2,71
The Legend of Zelda: Majora's Mask 3D,2015,2.34,9,89
Resident Evil - Code: Veronica X,2001,2.34,8.4,84
NBA 2K16,2015,2.34,6.2,86
Kinect Sports: Season Two,2011,2.34,6.5,66
James Bond 007: Everything or Nothing,2004,2.31,9.1,84
Need For Speed: High Stakes,1999,2.31,8.5,86
Guild Wars 2,2012,2.31,7.9,90
Paper Mario: Sticker Star,2012,2.3,5.6,75
Batman: Arkham Origins,2013,2.29,7.7,76
LEGO Star Wars: The Complete Saga,2007,2.29,6.7,80
Need for Speed Underground 2,2004,2.28,8.7,77
Pro Evolution Soccer 2010,2009,2.28,6.7,78
FIFA Soccer 09,2008,2.28,6.9,82
LEGO Harry Potter: Years 1-4,2010,2.28,7.2,72
The Sims 3,2010,2.28,7.1,76
Pokemon Ranger: Shadows of Almia,2008,2.28,8.2,68
Dead Island,2011,2.27,6.6,71
Kirby: Nightmare in Dream Land,2002,2.27,8.9,81
Wario Land 4,2001,2.26,8.9,88
Sonic's Ultimate Genesis Collection,2009,2.26,8.6,80
Far Cry: Primal,2016,2.26,6.3,76
Battlefield 1,2016,2.25,8.2,87
Onimusha 2: Samurai's Destiny,2002,2.25,9,84
Paper Mario: The Thousand-Year Door,2004,2.25,9.4,87
Madden NFL 12,2011,2.25,5.5,79
God of War: Ascension,2013,2.25,7.5,80
Guitar Hero III: Legends of Rock,2007,2.24,7.8,83
Sonic Advance,2001,2.24,8.1,87
Super Monkey Ball: Banana Blitz,2006,2.24,5.7,74
New Super Luigi U,2013,2.24,7.9,77
Spyro: Season of Ice,2001,2.23,8,74
Dissidia: Final Fantasy,2008,2.23,8,79
Madden NFL 25,2013,2.23,5.6,80
Borderlands 2,2012,2.23,8.2,91
Prince of Persia: The Sands of Time,2003,2.22,8.8,92
Monster Hunter Tri,2009,2.22,8.6,84
LEGO Marvel Super Heroes,2013,2.22,7.6,80
Tom Clancy's Rainbow Six: Siege,2015,2.21,7.3,73
Star Wars: The Force Unleashed,2008,2.21,6.6,71
Guitar Hero II,2007,2.2,8.1,92
Forza Motorsport 5,2013,2.2,5.9,79
Rock Band 2,2008,2.2,8.3,92
Need for Speed: Hot Pursuit,2010,2.2,7,88
LEGO Indiana Jones: The Original Adventures,2008,2.2,7.9,80
BioShock 2,2010,2.2,8.2,88
Star Wars: Knights of the Old Republic,2003,2.19,9.2,94
Madden NFL 15,2014,2.19,6.1,81
Pro Evolution Soccer 2012,2011,2.19,6.6,80
Saints Row,2006,2.18,7.5,81
ATV Offroad Fury 2,2002,2.18,8.9,82
FIFA 15,2014,2.18,5.4,82
Tom Clancy's The Division,2016,2.16,6.9,80
Final Fantasy XIII,2010,2.16,6.3,82
The Sims: House Party,2001,2.16,7.9,74
Scribblenauts,2009,2.16,7.6,79
Sonic Unleashed,2008,2.16,7.3,66
Pokemon Ranger,2006,2.15,7.6,69
Overwatch,2016,2.14,6.1,90
Hitman: Absolution,2012,2.14,7.5,83
Call of Duty: Roads to Victory,2007,2.13,7.5,64
Dance Dance Revolution Extreme,2004,2.13,9,77
Final Fantasy Tactics Advance,2003,2.13,7.8,87
Your Shape featuring Jenny McCarthy,2009,2.12,5.2,62
Project Gotham Racing,2001,2.12,8.2,85
NBA 2K12,2011,2.11,6.7,90
Need for Speed: Hot Pursuit 2,2002,2.11,8.5,89
Dynasty Warriors 4,2003,2.11,9.3,78
NBA 2K14,2013,2.11,4.9,84
Parasite Eve,1998,2.1,8.9,81
Tetris DS,2006,2.1,8.7,84
Battlefield: Hardline,2015,2.1,5,73
Mortal Kombat,2011,2.1,8.3,86
Borderlands,2009,2.09,7.9,83
Devil May Cry 3: Dante's Awakening,2005,2.09,9,84
NBA 2K11,2010,2.09,8.1,89
Dying Light,2015,2.09,7.9,74
Dead Rising,2006,2.08,7.6,85
World of Warcraft: Cataclysm,2010,2.08,5.6,90
Tetris Worlds,2002,2.08,6.2,44
Final Fantasy III,2006,2.08,7.1,77
Mario Party 5,2003,2.08,8.2,69
Portal 2,2011,2.08,8.5,95
Mario Sports Mix,2010,2.08,7.1,64
Need for Speed: Most Wanted 5-1-0,2005,2.07,7.8,72
The Sims 2: Pets,2006,2.07,5.2,49
Dance Dance Revolution: Hottest Party,2007,2.07,7.1,73
DriveClub,2014,2.07,6.1,71
UFC 2009 Undisputed,2009,2.06,7.9,83
Metal Gear Solid: Peace Walker,2010,2.06,8.9,89
R4: Ridge Racer Type 4,1998,2.06,9.2,88
Kingdom Hearts: Birth by Sleep,2010,2.06,8.6,82
SoulCalibur II,2003,2.06,8.8,92
Need for Speed: ProStreet,2007,2.05,7.1,72
Sonic Mega Collection,2002,2.05,8.8,75
Need For Speed: Undercover,2008,2.05,5.9,59
SOCOM: U.S. Navy SEALs: Combined Assault,2006,2.04,9,72
Peter Jackson's King Kong: The Official Game of the Movie,2005,2.04,8.2,82
Need for Speed: ProStreet,2007,2.04,6,73
Donkey Kong Country,2003,2.04,8.9,78
Dance Central 2,2011,2.04,8.2,86
Carnival Games,2008,2.03,3.3,48
NBA Live 2004,2003,2.03,7.7,86
Call of Duty 2,2005,2.03,8.1,89
Rayman Raving Rabbids: TV Party,2008,2.03,7.7,73
Pokémon Mystery Dungeon: Blue Rescue Team,2005,2.02,8.1,62
Dark Souls,2011,2.02,8.7,89
Just Dance 3,2011,2.02,7.7,70
Battlefield 4,2013,2.02,6.6,81
Fire Emblem: Awakening,2012,2.01,9.1,92
Need for Speed: The Run,2011,2.01,6.4,64
Dragon Age: Inquisition,2014,2.01,7.4,89
Dead Space,2008,2,8.8,88
Mortal Kombat vs. DC Universe,2008,2,7.1,76
TouchMaster,2007,2,5.7,71
Tenchu: Stealth Assassins,1997,1.99,8.8,87
Harry Potter and the Chamber of Secrets,2002,1.99,7.9,76
