Developer,Genre,Total_Global_Sales,Total_Global_Sales_By_Developer
Jupiter Corporation,Role-Playing,4.24,6.43
Jupiter Corporation,Puzzle,2.19,6.43
EA Chicago,Action,0.76,6.31
EA Chicago,Fighting,5.55,6.31
FreeStyleGames,Misc,6.2,6.2
Virtuos,Misc,0.2,6.19
Virtuos,Action,0.47,6.19
Virtuos,Role-Playing,2.07,6.19
Virtuos,Racing,2.51,6.19
Virtuos,Shooter,0.1,6.19
Virtuos,Platform,0.42,6.19
Virtuos,Sports,0.42,6.19
Sand Grain Studios,Sports,6.11,6.11
Cavia Inc.,Action,3.67,6.1
Cavia Inc.,Fighting,0.14,6.1
Cavia Inc.,Sports,0.5,6.1
Cavia Inc.,Shooter,0.11,6.1
Cavia Inc.,Role-Playing,1.68,6.1
Slightly Mad Studios,Racing,6.1,6.1
Genius Sonority Inc.,Role-Playing,5.37,6.03
Genius Sonority Inc.,Misc,0.66,6.03
PopCap,Puzzle,1.23,5.96
PopCap,Adventure,0.11,5.96
PopCap,Strategy,0.51,5.96
PopCap,Shooter,4.08,5.96
PopCap,Misc,0.03,5.96
1st Playable Productions,Simulation,0.29,5.94
1st Playable Productions,Action,0.02,5.94
1st Playable Productions,Misc,0.19,5.94
1st Playable Productions,Puzzle,0.4,5.94
1st Playable Productions,Adventure,4.65,5.94
1st Playable Productions,Sports,0.39,5.94
Koei,Role-Playing,1.02,5.88
Koei,Racing,0.2,5.88
Koei,Fighting,0.08,5.88
Koei,Strategy,3.03,5.88
Koei,Action,1.55,5.88
Team Bondi,Adventure,5.87,5.87
Zoe Mode,Misc,5.67,5.87
Zoe Mode,Platform,0.12,5.87
Zoe Mode,Puzzle,0.08,5.87
Webfoot Technologies,Adventure,0.72,5.86
Webfoot Technologies,Fighting,1.08,5.86
Webfoot Technologies,Action,0.89,5.86
Webfoot Technologies,Role-Playing,2.78,5.86
Webfoot Technologies,Racing,0.07,5.86
Webfoot Technologies,Sports,0.32,5.86
Red Storm Entertainment,Shooter,5.81,5.81
Black Lantern Studios,Sports,0.23,5.79
Black Lantern Studios,Misc,1.65,5.79
Black Lantern Studios,Puzzle,0.01,5.79
Black Lantern Studios,Simulation,1.67,5.79
Black Lantern Studios,Adventure,0.24,5.79
Black Lantern Studios,Platform,1.16,5.79
Black Lantern Studios,Action,0.76,5.79
Black Lantern Studios,Strategy,0.07,5.79
Shaba Games,Action,1.21,5.78
Shaba Games,Sports,4.57,5.78
Page 44 Studios,Action,0.1,5.74
Page 44 Studios,Puzzle,0.85,5.74
Page 44 Studios,Misc,0.99,5.74
Page 44 Studios,Racing,1.15,5.74
Page 44 Studios,Sports,2.65,5.74
SCEA,Sports,3.53,5.71
SCEA,Action,0.46,5.71
SCEA,Adventure,0.13,5.71
SCEA,Misc,1.3,5.71
SCEA,Racing,0.29,5.71
Amusement Vision,Racing,0.65,5.65
Amusement Vision,Action,0.8,5.65
Amusement Vision,Role-Playing,0.08,5.65
Amusement Vision,Sports,0.05,5.65
Amusement Vision,Adventure,1.09,5.65
Amusement Vision,Puzzle,2.98,5.65
Bizarre Creations,Racing,3.49,5.65
Bizarre Creations,Action,0.47,5.65
Bizarre Creations,Shooter,1.69,5.65
Virtual Toys,Misc,0.59,5.6
Virtual Toys,Simulation,4.98,5.6
Virtual Toys,Action,0.03,5.6
Blue Castle Games,Action,3.04,5.59
Blue Castle Games,Sports,2.55,5.59
Asobo Studio,Sports,0.58,5.53
Asobo Studio,Platform,0.8,5.53
Asobo Studio,Action,2.97,5.53
Asobo Studio,Adventure,0.58,5.53
Asobo Studio,Racing,0.57,5.53
Asobo Studio,Shooter,0.03,5.53
Point of View,Racing,0.61,5.48
Point of View,Misc,0.36,5.48
Point of View,Shooter,0.77,5.48
Point of View,Action,0.79,5.48
Point of View,Fighting,0.62,5.48
Point of View,Sports,2.33,5.48
Snowblind Studios,Action,1.85,5.44
Snowblind Studios,Role-Playing,3.59,5.44
Spark Unlimited,Shooter,5.41,5.41
Aki Corp.,Simulation,0.6,5.4
Aki Corp.,Action,0.09,5.4
Aki Corp.,Fighting,4.71,5.4
Konami Computer Entertainment Hawaii,Sports,0.18,5.32
Konami Computer Entertainment Hawaii,Adventure,2.5,5.32
Konami Computer Entertainment Hawaii,Shooter,0.02,5.32
Konami Computer Entertainment Hawaii,Simulation,2.1,5.32
Konami Computer Entertainment Hawaii,Platform,0.17,5.32
Konami Computer Entertainment Hawaii,Fighting,0.09,5.32
Konami Computer Entertainment Hawaii,Action,0.26,5.32
Now Production,Adventure,0.05,5.32
Now Production,Action,4.35,5.32
Now Production,Puzzle,0.45,5.32
Now Production,Sports,0.44,5.32
Now Production,Shooter,0.03,5.32
Full Fat,Misc,0.14,5.24
Full Fat,Action,0.93,5.24
Full Fat,Racing,0.03,5.24
Full Fat,Simulation,4.07,5.24
Full Fat,Sports,0.07,5.24
Bullfrog Productions,Shooter,0.21,5.22
Bullfrog Productions,Action,0.05,5.22
Bullfrog Productions,Strategy,4.96,5.22
ArtePiazza,Simulation,0.16,5.18
ArtePiazza,Role-Playing,5.02,5.18
h.a.n.d. Inc.,Adventure,1.23,5.1
h.a.n.d. Inc.,Role-Playing,2.19,5.1
h.a.n.d. Inc.,Sports,1.68,5.1
Indies Zero,Misc,4.01,5.04
Indies Zero,Sports,0.11,5.04
Indies Zero,Simulation,0.26,5.04
Indies Zero,Action,0.66,5.04
Sega AM2,Adventure,1.65,5.04
Sega AM2,Sports,0.1,5.04
Sega AM2,Simulation,0.07,5.04
Sega AM2,Racing,0.05,5.04
Sega AM2,Fighting,3.17,5.04
"Z-Axis, Ltd.",Shooter,0.35,5
"Z-Axis, Ltd.",Action,0.68,5
"Z-Axis, Ltd.",Sports,3.97,5
Ghost Games,Racing,4.98,4.98
"Kojima Productions, Moby Dick Studio",Action,4.98,4.98
"Neversoft Entertainment, BudCat",Misc,4.98,4.98
Quantic Dream,Adventure,4.93,4.93
"Naughty Dog, SCE/WWS",Action,4.92,4.92
Respawn Entertainment,Shooter,4.91,4.91
Tecmo,Action,1.04,4.84
Tecmo,Shooter,0.28,4.84
Tecmo,Sports,0.54,4.84
Tecmo,Simulation,2.76,4.84
Tecmo,Platform,0.06,4.84
Tecmo,Role-Playing,0.1,4.84
Tecmo,Misc,0.06,4.84
Acquire,Action,4.82,4.82
Artoon,Action,0.74,4.79
Artoon,Platform,4.05,4.79
Natsume,Simulation,0.76,4.77
Natsume,Action,2.06,4.77
Natsume,Misc,0.33,4.77
Natsume,Role-Playing,0.09,4.77
Natsume,Shooter,0.03,4.77
Natsume,Puzzle,0.17,4.77
Natsume,Fighting,0.68,4.77
Natsume,Sports,0.6,4.77
Natsume,Platform,0.05,4.77
Paradigm Entertainment,Racing,3.49,4.76
Paradigm Entertainment,Shooter,0.28,4.76
Paradigm Entertainment,Platform,0.43,4.76
Paradigm Entertainment,Action,0.56,4.76
NanaOn-Sha,Simulation,2.61,4.72
NanaOn-Sha,Misc,2.11,4.72
Digital Illusions,Racing,1.14,4.68
Digital Illusions,Misc,0.56,4.68
Digital Illusions,Adventure,0.12,4.68
Digital Illusions,Platform,1.31,4.68
Digital Illusions,Shooter,1.55,4.68
Matrix Software,Adventure,0.23,4.68
Matrix Software,Simulation,1.21,4.68
Matrix Software,Role-Playing,3.24,4.68
Eutechnyx,Racing,4.66,4.66
Fox Interactive,Racing,4.66,4.66
Microsoft Game Studios,Simulation,0.52,4.66
Microsoft Game Studios,Shooter,0.12,4.66
Microsoft Game Studios,Racing,1.05,4.66
Microsoft Game Studios,Sports,2.63,4.66
Microsoft Game Studios,Strategy,0.17,4.66
Microsoft Game Studios,Misc,0.17,4.66
Monolith Soft,Role-Playing,4.57,4.64
Monolith Soft,Action,0.07,4.64
City Interactive,Shooter,3.21,4.59
City Interactive,Adventure,0.53,4.59
City Interactive,Simulation,0.18,4.59
City Interactive,Misc,0.06,4.59
City Interactive,Puzzle,0.29,4.59
City Interactive,Action,0.32,4.59
Team Fusion,Racing,1.32,4.55
Team Fusion,Action,0.11,4.55
Team Fusion,Shooter,2.65,4.55
Team Fusion,Sports,0.47,4.55
2K Czech,Action,3.44,4.54
2K Czech,Sports,1.1,4.54
2K Marin,Shooter,4.49,4.49
NuFX,Sports,4.48,4.48
id Software,Shooter,4.48,4.48
Incognito Inc.,Simulation,1.06,4.43
Incognito Inc.,Fighting,0.54,4.43
Incognito Inc.,Racing,1.88,4.43
Incognito Inc.,Action,0.95,4.43
Nippon Ichi Software,Adventure,0.09,4.38
Nippon Ichi Software,Platform,0.1,4.38
Nippon Ichi Software,Role-Playing,4.19,4.38
ChunSoft,Adventure,0.03,4.32
ChunSoft,Role-Playing,4.29,4.32
Headstrong Games,Action,0.45,4.32
Headstrong Games,Shooter,0.85,4.32
Headstrong Games,Misc,3.02,4.32
Irrational Games,Shooter,4.31,4.31
Arkane Studios,Shooter,0.03,4.3
Arkane Studios,Role-Playing,0.05,4.3
Arkane Studios,Action,4.22,4.3
Farsight Studios,Action,0.03,4.27
Farsight Studios,Puzzle,1.68,4.27
Farsight Studios,Sports,0.45,4.27
Farsight Studios,Misc,2.11,4.27
Media Molecule,Adventure,0.61,4.26
Media Molecule,Platform,3.65,4.26
"Nintendo, Nd Cube",Misc,4.21,4.21
"SCEE, Zoe Mode",Misc,4.2,4.2
Acclaim Studios Cheltenham,Action,0.16,4.19
Acclaim Studios Cheltenham,Racing,3.75,4.19
Acclaim Studios Cheltenham,Sports,0.28,4.19
MachineGames,Action,0.67,4.17
MachineGames,Shooter,3.5,4.17
WB Games Montreal,Action,4.17,4.17
"Warner Bros. Interactive Entertainment, NetherRealm Studios",Fighting,4.16,4.16
SCEE,Simulation,0.1,4.15
SCEE,Misc,1.74,4.15
SCEE,Sports,1.07,4.15
SCEE,Adventure,0.81,4.15
SCEE,Action,0.43,4.15
Black Rock Studio,Racing,4.11,4.11
EA Salt Lake,Sports,3.06,4.06
EA Salt Lake,Shooter,1,4.06
Tantalus Interactive,Action,1.42,4.04
Tantalus Interactive,Adventure,0.19,4.04
Tantalus Interactive,Simulation,0.44,4.04
Tantalus Interactive,Shooter,0.21,4.04
Tantalus Interactive,Racing,1.78,4.04
Tango Gameworks,Action,4.03,4.03
"Spike, Namco Bandai Games",Fighting,4.02,4.02
Art,Role-Playing,0.09,3.98
Art,Action,0.14,3.98
Art,Platform,1.53,3.98
Art,Adventure,1.98,3.98
Art,Misc,0.24,3.98
Ninja Theory,Action,3.97,3.97
Free Radical Design,Shooter,3.68,3.94
Free Radical Design,Adventure,0.26,3.94
Monster Games Inc.,Racing,2.97,3.92
Monster Games Inc.,Simulation,0.95,3.92
Day 1 Studios,Shooter,2.42,3.91
Day 1 Studios,Simulation,1.49,3.91
Rockstar Studios,Shooter,3.9,3.9
Etranges Libellules,Platform,2.17,3.89
Etranges Libellules,Action,0.74,3.89
Etranges Libellules,Adventure,0.98,3.89
Monkey Bar Games,Platform,0.16,3.87
Monkey Bar Games,Action,3.17,3.87
Monkey Bar Games,Sports,0.05,3.87
Monkey Bar Games,Racing,0.49,3.87
"SCEA, Zindagi Games",Sports,3.84,3.84
"Nintendo, Namco Bandai Games",Misc,3.83,3.83
Milestone S.r.l,Racing,3.78,3.78
Project Aces,Simulation,2.53,3.76
Project Aces,Action,1.23,3.76
EA Vancouver,Racing,3.73,3.73
Blitz Games Studios,Misc,0.76,3.69
Blitz Games Studios,Sports,1.54,3.69
Blitz Games Studios,Simulation,0.41,3.69
Blitz Games Studios,Action,0.98,3.69
Ludia Inc.,Misc,3.69,3.69
CAProduction,Sports,3.3,3.67
CAProduction,Simulation,0.37,3.67
DC Studios,Platform,0.39,3.67
DC Studios,Puzzle,0.09,3.67
DC Studios,Strategy,0.04,3.67
DC Studios,Action,2.84,3.67
DC Studios,Shooter,0.14,3.67
DC Studios,Sports,0.17,3.67
Slant Six,Action,1.98,3.67
Slant Six,Shooter,1.69,3.67
Dreamworks Interactive,Shooter,3.64,3.64
Angel Studios,Racing,3.6,3.6
Disney Interactive Studios,Misc,3.58,3.58
Office Create,Simulation,3.58,3.58
Torus Games,Platform,0.2,3.58
Torus Games,Simulation,0.2,3.58
Torus Games,Adventure,0.78,3.58
Torus Games,Action,0.45,3.58
Torus Games,Shooter,0.02,3.58
Torus Games,Sports,0.13,3.58
Torus Games,Racing,1.8,3.58
HB Studios Multimedia,Sports,3.56,3.56
SCEI,Misc,0.06,3.56
SCEI,Role-Playing,1.86,3.56
SCEI,Strategy,0.01,3.56
SCEI,Platform,1.63,3.56
Codemasters Birmingham,Racing,3.55,3.55
Team Soho,Action,3.54,3.54
Arika,Platform,0.17,3.53
Arika,Simulation,0.89,3.53
Arika,Misc,0.02,3.53
Arika,Adventure,1.09,3.53
Arika,Puzzle,0.31,3.53
Arika,Fighting,1.05,3.53
Certain Affinity,Shooter,3.51,3.51
"Majesco Games, Majesco",Platform,0.06,3.5
"Majesco Games, Majesco",Simulation,0.09,3.5
"Majesco Games, Majesco",Action,0.13,3.5
"Majesco Games, Majesco",Sports,2.99,3.5
"Majesco Games, Majesco",Misc,0.13,3.5
"Majesco Games, Majesco",Shooter,0.1,3.5
4J Studios,Action,0.12,3.49
4J Studios,Strategy,0.23,3.49
4J Studios,Racing,0.03,3.49
4J Studios,Role-Playing,3.1,3.49
4J Studios,Platform,0.01,3.49
Neverland,Action,0.13,3.47
Neverland,Misc,0.05,3.47
Neverland,Role-Playing,3.29,3.47
Agenda,Misc,3.45,3.45
Grasshopper Manufacture,Action,3.26,3.44
Grasshopper Manufacture,Role-Playing,0.18,3.44
Ryu ga Gotoku Studios,Action,2.66,3.42
Ryu ga Gotoku Studios,Adventure,0.16,3.42
Ryu ga Gotoku Studios,Shooter,0.6,3.42
Ensemble Studios,Strategy,3.39,3.39
Incinerator Games,Action,1.11,3.39
Incinerator Games,Racing,2.28,3.39
2K Sports,Sports,3.29,3.35
2K Sports,Misc,0.06,3.35
Pivotal Games,Action,0.26,3.34
Pivotal Games,Shooter,3.08,3.34
syn Sophia,Simulation,3.31,3.31
Blue Tongue Entertainment,Action,0.54,3.3
Blue Tongue Entertainment,Simulation,0.36,3.3
Blue Tongue Entertainment,Platform,1.93,3.3
Blue Tongue Entertainment,Adventure,0.11,3.3
Blue Tongue Entertainment,Fighting,0.36,3.3
505 Games,Puzzle,0.02,3.29
505 Games,Simulation,1.85,3.29
505 Games,Action,0.09,3.29
505 Games,Sports,0.09,3.29
505 Games,Misc,1.24,3.29
Eidos Montreal,Role-Playing,0.55,3.29
Eidos Montreal,Shooter,2.74,3.29
SNK Playmore,Shooter,0.18,3.29
SNK Playmore,Misc,0.26,3.29
SNK Playmore,Strategy,0.1,3.29
SNK Playmore,Fighting,2.75,3.29
"Splash Damage, The Coalition",Shooter,3.28,3.28
Sony Bend,Shooter,3.26,3.26
"Irrational Games, 2K Marin",Shooter,3.24,3.24
Genki,Action,0.01,3.23
Genki,Strategy,0.09,3.23
Genki,Simulation,0.08,3.23
Genki,Racing,2.69,3.23
Genki,Fighting,0.07,3.23
Genki,Role-Playing,0.29,3.23
Junction Point,Action,0.23,3.23
Junction Point,Platform,3,3.23
Oddworld Inhabitants,Adventure,0.26,3.22
Oddworld Inhabitants,Platform,2.96,3.22
Atlus Co.,Action,0.04,3.21
Atlus Co.,Role-Playing,2.97,3.21
Atlus Co.,Sports,0.2,3.21
Creatures Inc.,Adventure,1.17,3.21
Creatures Inc.,Role-Playing,1.29,3.21
Creatures Inc.,Action,0.75,3.21
Nex Entertainment,Shooter,1.37,3.21
Nex Entertainment,Action,1.27,3.21
Nex Entertainment,Role-Playing,0.57,3.21
7 Studios,Puzzle,0.07,3.2
7 Studios,Adventure,0.25,3.2
7 Studios,Misc,0.89,3.2
7 Studios,Action,1.99,3.2
"Lexis Numerique, Virtual Toys",Simulation,3.2,3.2
Firebrand Games,Racing,2.14,3.19
Firebrand Games,Misc,0.15,3.19
Firebrand Games,Action,0.9,3.19
Visual Impact,Shooter,0.12,3.18
Visual Impact,Racing,0.7,3.18
Visual Impact,Simulation,1.08,3.18
Visual Impact,Misc,0.03,3.18
Visual Impact,Sports,0.31,3.18
Visual Impact,Platform,0.1,3.18
Visual Impact,Action,0.84,3.18
Vigil Games,Action,3.16,3.16
United Front Games,Racing,1.12,3.15
United Front Games,Action,2.03,3.15
"Dimps Corporation, Sonic Team",Platform,3.12,3.12
Secret Level,Shooter,0.25,3.12
Secret Level,Simulation,0.86,3.12
Secret Level,Misc,0.09,3.12
Secret Level,Action,1.92,3.12
Midway Studios - San Diego,Racing,0.22,3.11
Midway Studios - San Diego,Puzzle,2.89,3.11
"Dice, Danger Close",Shooter,3.1,3.1
Racjin,Puzzle,0.15,3.1
Racjin,Simulation,0.26,3.1
Racjin,Role-Playing,1.46,3.1
Racjin,Sports,0.02,3.1
Racjin,Fighting,0.98,3.1
Racjin,Misc,0.23,3.1
UBlart Montpellier,Platform,3.1,3.1
Artefacts Studio,Adventure,0.06,3.07
Artefacts Studio,Racing,0.02,3.07
Artefacts Studio,Misc,2.99,3.07
MTO,Misc,0.13,3.07
MTO,Racing,1.04,3.07
MTO,Simulation,1.9,3.07
Team 17,Action,0.04,3.07
Team 17,Racing,0.05,3.07
Team 17,Strategy,1.78,3.07
Team 17,Puzzle,0.92,3.07
Team 17,Shooter,0.02,3.07
Team 17,Adventure,0.26,3.07
Juice Games,Racing,3.02,3.02
Sanzaru Games,Platform,2.14,2.97
Sanzaru Games,Adventure,0.32,2.97
Sanzaru Games,Action,0.51,2.97
"LucasArts, BioWare",Role-Playing,2.96,2.96
Kaos Studios,Shooter,2.93,2.93
Danger Close,Action,2.89,2.89
Digital Extremes,Shooter,2.79,2.89
Digital Extremes,Action,0.1,2.89
OfficeCreate,Simulation,2.89,2.89
Bandai,Simulation,1.42,2.87
Bandai,Strategy,0.11,2.87
Bandai,Role-Playing,0.9,2.87
Bandai,Sports,0.14,2.87
Bandai,Fighting,0.28,2.87
Bandai,Shooter,0.02,2.87
Black Ops Entertainment,Adventure,0.12,2.87
Black Ops Entertainment,Shooter,0.15,2.87
Black Ops Entertainment,Fighting,0.56,2.87
Black Ops Entertainment,Action,1.64,2.87
Black Ops Entertainment,Sports,0.4,2.87
Take-Two Interactive,Platform,0.12,2.87
Take-Two Interactive,Sports,1.1,2.87
Take-Two Interactive,Strategy,0.13,2.87
Take-Two Interactive,Adventure,0.61,2.87
Take-Two Interactive,Misc,0.91,2.87
Hellbent Games,Strategy,2.79,2.83
Hellbent Games,Action,0.04,2.83
Crave,Fighting,0.08,2.81
Crave,Platform,0.07,2.81
Crave,Simulation,0.29,2.81
Crave,Misc,1.23,2.81
Crave,Action,0.16,2.81
Crave,Sports,0.49,2.81
Crave,Puzzle,0.49,2.81
"EA DICE, Danger Close",Shooter,2.81,2.81
3DO,Sports,0.95,2.8
3DO,Action,0.84,2.8
3DO,Adventure,0.22,2.8
3DO,Platform,0.13,2.8
3DO,Shooter,0.66,2.8
Neko Entertainment,Shooter,0.17,2.8
Neko Entertainment,Adventure,0.54,2.8
Neko Entertainment,Misc,0.17,2.8
Neko Entertainment,Simulation,1.65,2.8
Neko Entertainment,Racing,0.11,2.8
Neko Entertainment,Action,0.07,2.8
Neko Entertainment,Fighting,0.09,2.8
Robomodo,Sports,2.74,2.74
Starbreeze,Shooter,2.42,2.74
Starbreeze,Adventure,0.32,2.74
"Koei, Omega Force",Fighting,0.3,2.73
"Koei, Omega Force",Action,2.43,2.73
Factor 5,Simulation,2.7,2.7
Human Soft,Racing,0.23,2.7
Human Soft,Puzzle,0.53,2.7
Human Soft,Action,0.48,2.7
Human Soft,Adventure,0.71,2.7
Human Soft,Misc,0.41,2.7
Human Soft,Platform,0.34,2.7
VIS Entertainment,Action,2.7,2.7
Big Blue Box,Role-Playing,2.66,2.66
Remedy Entertainment,Shooter,0.69,2.66
Remedy Entertainment,Action,1.97,2.66
EA Sports Big,Sports,2.63,2.63
Alfa System,Shooter,0.23,2.62
Alfa System,Role-Playing,2.39,2.62
Cooking Mama Limited,Simulation,2.62,2.62
Hangar 13,Action,2.62,2.62
Paradox Development,Action,0.15,2.62
Paradox Development,Fighting,2.47,2.62
Vicious Cycle,Adventure,0.35,2.6
Vicious Cycle,Shooter,1.78,2.6
Vicious Cycle,Puzzle,0.29,2.6
Vicious Cycle,Action,0.18,2.6
Nihilistic,Shooter,0.41,2.58
Nihilistic,Action,2,2.58
Nihilistic,Platform,0.17,2.58
Relic,Strategy,1.13,2.58
Relic,Shooter,1.2,2.58
Relic,Action,0.25,2.58
8ing/Raizing,Fighting,2.56,2.56
"Ready at Dawn, SCE Santa Monica",Shooter,1.74,2.56
"Ready at Dawn, SCE Santa Monica",Action,0.82,2.56
Behaviour Interactive,Action,1.61,2.55
Behaviour Interactive,Shooter,0.16,2.55
Behaviour Interactive,Simulation,0.34,2.55
Behaviour Interactive,Misc,0.44,2.55
Double Fine Productions,Action,1.91,2.55
Double Fine Productions,Platform,0.12,2.55
Double Fine Productions,Misc,0.52,2.55
"Ubisoft Reflections, Ivory Tower",Racing,2.52,2.52
Genuine Games,Action,2.21,2.5
Genuine Games,Fighting,0.29,2.5
Tamsoft,Sports,0.4,2.5
Tamsoft,Misc,0.25,2.5
Tamsoft,Action,0.58,2.5
Tamsoft,Fighting,1.27,2.5
Powerhead Games,Sports,0.39,2.49
Powerhead Games,Simulation,1.57,2.49
Powerhead Games,Adventure,0.13,2.49
Powerhead Games,Misc,0.27,2.49
Powerhead Games,Fighting,0.07,2.49
Powerhead Games,Action,0.06,2.49
Playground Games,Racing,2.48,2.48
Giants Software,Simulation,2.46,2.46
Planet Moon Studios,Puzzle,0.75,2.46
Planet Moon Studios,Shooter,0.28,2.46
Planet Moon Studios,Misc,1.43,2.46
Cyan Worlds,Adventure,2.45,2.45
"Namco Bandai Games America, Namco Bandai Games",Sports,0.04,2.44
"Namco Bandai Games America, Namco Bandai Games",Action,0.78,2.44
"Namco Bandai Games America, Namco Bandai Games",Fighting,1.62,2.44
Pam Development,Sports,0.73,2.44
Pam Development,Action,1.71,2.44
49Games,Sports,2.43,2.43
Gaijin Entertainment,Action,0.47,2.43
Gaijin Entertainment,Simulation,1.96,2.43
ArenaNet,Role-Playing,0.11,2.42
ArenaNet,Action,2.31,2.42
Nixxes Software,Adventure,0.32,2.41
Nixxes Software,Action,1.51,2.41
Nixxes Software,Shooter,0.58,2.41
Destineer,Shooter,0.21,2.4
Destineer,Puzzle,0.12,2.4
Destineer,Adventure,0.08,2.4
Destineer,Simulation,0.4,2.4
Destineer,Racing,0.05,2.4
Destineer,Action,0.34,2.4
Destineer,Sports,1.2,2.4
Ubisoft Romania,Misc,0.39,2.39
Ubisoft Romania,Simulation,0.69,2.39
Ubisoft Romania,Action,1.31,2.39
Game Republic,Adventure,0.48,2.37
Game Republic,Action,1.89,2.37
Surreal Software,Adventure,0.26,2.36
Surreal Software,Action,2.1,2.36
Xpec,Role-Playing,0.09,2.35
Xpec,Action,1.67,2.35
Xpec,Platform,0.59,2.35
GREZZO,Action,2.34,2.34
"Rare Ltd., BigPark",Sports,2.34,2.34
Silicon Knights,Action,1.11,2.33
Silicon Knights,Role-Playing,0.78,2.33
Silicon Knights,Adventure,0.44,2.33
Gust,Role-Playing,2.26,2.32
Gust,Action,0.06,2.32
Sony Online Entertainment,Role-Playing,2.3,2.3
Zoo Games,Shooter,0.55,2.3
Zoo Games,Racing,0.55,2.3
Zoo Games,Simulation,0.11,2.3
Zoo Games,Action,0.2,2.3
Zoo Games,Sports,0.36,2.3
Zoo Games,Misc,0.39,2.3
Zoo Games,Puzzle,0.14,2.3
Ambrella,Adventure,0.38,2.29
Ambrella,Racing,0.77,2.29
Ambrella,Action,1.14,2.29
Digital Kids,Simulation,1.66,2.29
Digital Kids,Action,0.47,2.29
Digital Kids,Sports,0.16,2.29
Melbourne House,Shooter,1.79,2.29
Melbourne House,Racing,0.5,2.29
"HAL Labs, Creatures Inc.",Role-Playing,2.28,2.28
Studio Liverpool,Racing,2.27,2.27
Vingt-et-un Systems,Strategy,0.04,2.26
Vingt-et-un Systems,Sports,1.08,2.26
Vingt-et-un Systems,Action,1.14,2.26
K2 LLC,Action,1.88,2.24
K2 LLC,Fighting,0.08,2.24
K2 LLC,Adventure,0.04,2.24
K2 LLC,Role-Playing,0.24,2.24
Pacific Coast Power & Light,Action,1.11,2.23
Pacific Coast Power & Light,Racing,1.12,2.23
Propaganda Games,Action,2.23,2.23
Ubisoft Toronto,Action,2.23,2.23
Capcom Vancouver,Action,2.22,2.22
Kuju Entertainment,Simulation,0.06,2.22
Kuju Entertainment,Shooter,0.79,2.22
Kuju Entertainment,Misc,0.44,2.22
Kuju Entertainment,Strategy,0.74,2.22
Kuju Entertainment,Action,0.11,2.22
Kuju Entertainment,Racing,0.08,2.22
Savage Entertainment,Shooter,1.97,2.22
Savage Entertainment,Role-Playing,0.25,2.22
"Climax Group, Climax Studios",Action,1.35,2.21
"Climax Group, Climax Studios",Racing,0.84,2.21
"Climax Group, Climax Studios",Simulation,0.02,2.21
Coresoft,Sports,0.37,2.2
Coresoft,Misc,1.71,2.2
Coresoft,Simulation,0.07,2.2
Coresoft,Action,0.02,2.2
Coresoft,Puzzle,0.03,2.2
Clover Studio,Action,2.18,2.18
GRIN,Platform,0.64,2.18
GRIN,Shooter,1.54,2.18
ZeniMax Media,Role-Playing,2.18,2.18
iNiS,Misc,2.18,2.18
ImaginEngine,Misc,1.77,2.16
ImaginEngine,Action,0.1,2.16
ImaginEngine,Puzzle,0.29,2.16
Big Huge Games,Role-Playing,2.02,2.15
Big Huge Games,Strategy,0.13,2.15
Warthog,Shooter,0.54,2.13
Warthog,Action,0.43,2.13
Warthog,Puzzle,0.02,2.13
Warthog,Simulation,0.26,2.13
Warthog,Platform,0.88,2.13
Mercury Steam,Action,2.11,2.11
Jellyvision,Misc,2.1,2.1
Gorilla Systems,Misc,0.02,2.09
Gorilla Systems,Action,0.85,2.09
Gorilla Systems,Adventure,1.22,2.09
High Impact Games,Action,0.89,2.09
High Impact Games,Platform,1.2,2.09
Blue Planet Software,Puzzle,2.08,2.08
"Electronic Arts, Rebellion",Action,2.08,2.08
Gameloft,Puzzle,0.7,2.06
Gameloft,Shooter,0.04,2.06
Gameloft,Racing,1.08,2.06
Gameloft,Platform,0.05,2.06
Gameloft,Simulation,0.08,2.06
Gameloft,Sports,0.04,2.06
Gameloft,Action,0.07,2.06
Atari,Strategy,0.13,2.05
Atari,Action,0.5,2.05
Atari,Shooter,0.01,2.05
Atari,Racing,0.46,2.05
Atari,Misc,0.95,2.05
"Red Storm Entertainment, Ubisoft Paris",Shooter,2.05,2.05
Sidhe Interactive,Action,0.5,2.05
Sidhe Interactive,Racing,0.99,2.05
Sidhe Interactive,Sports,0.56,2.05
SuperMassive Games,Adventure,2.05,2.05
Red Fly Studio,Action,1.58,2.02
Red Fly Studio,Misc,0.44,2.02
3d6 Games,Puzzle,1.71,2.01
3d6 Games,Platform,0.21,2.01
3d6 Games,Action,0.09,2.01
Spike Chunsoft,Role-Playing,0.37,2.01
Spike Chunsoft,Misc,0.5,2.01
Spike Chunsoft,Fighting,0.51,2.01
Spike Chunsoft,Action,0.63,2.01
Vanillaware,Role-Playing,2.01,2.01
"Gearbox Software, 3D Realms",Shooter,2,2
Acclaim Studios Austin,Sports,1.75,1.99
Acclaim Studios Austin,Platform,0.24,1.99
Ubisoft Reflections,Racing,1.99,1.99
Check Six Games,Platform,1.97,1.97
Eden Studios,Racing,1.19,1.97
Eden Studios,Adventure,0.78,1.97
Razorworks Studios,Puzzle,0.14,1.97
Razorworks Studios,Racing,1.83,1.97
"PLAYGROUND, Playground Games",Racing,1.96,1.96
Splash Damage,Shooter,1.96,1.96
