Developer,Genre,Total_Global_Sales,Total_Global_Sales_By_Developer
Rockstar San Diego,Racing,10.92,30.35
Rockstar San Diego,Misc,0.08,30.35
"Infinity Ward, Sledgehammer Games",Shooter,29.77,29.77
"Bungie Software, Bungie",Shooter,29.01,29.01
Omega Force,Shooter,0.29,27.38
Omega Force,Action,26.95,27.38
Omega Force,Role-Playing,0.14,27.38
TOSE,Simulation,7,26.98
TOSE,Adventure,1.51,26.98
TOSE,Action,0.95,26.98
TOSE,Fighting,0.18,26.98
TOSE,Strategy,1.1,26.98
TOSE,Misc,2.52,26.98
TOSE,Role-Playing,10.39,26.98
TOSE,Racing,0.13,26.98
TOSE,Platform,2.73,26.98
TOSE,Sports,0.47,26.98
Intelligent Systems,Platform,3.71,25.94
Intelligent Systems,Puzzle,3.55,25.94
Intelligent Systems,Strategy,4.91,25.94
Intelligent Systems,Misc,0.59,25.94
Intelligent Systems,Action,0.54,25.94
Intelligent Systems,Role-Playing,7.17,25.94
Intelligent Systems,Racing,5.47,25.94
Rocksteady Studios,Action,24.51,24.59
Rocksteady Studios,Shooter,0.08,24.59
THQ,Racing,0.19,23.85
THQ,Simulation,0.42,23.85
THQ,Misc,6.28,23.85
THQ,Action,7.42,23.85
THQ,Strategy,0.06,23.85
THQ,Sports,1.55,23.85
THQ,Platform,0.74,23.85
THQ,Fighting,4.13,23.85
THQ,Adventure,2.45,23.85
THQ,Puzzle,0.61,23.85
HAL Labs,Role-Playing,2.15,23.83
HAL Labs,Fighting,7.07,23.83
HAL Labs,Platform,10.9,23.83
HAL Labs,Puzzle,0.49,23.83
HAL Labs,Action,1.6,23.83
HAL Labs,Racing,1.62,23.83
KCET,Platform,0.64,23.74
KCET,Role-Playing,1.64,23.74
KCET,Sports,12.17,23.74
KCET,Simulation,2.13,23.74
KCET,Shooter,1.6,23.74
KCET,Action,5.56,23.74
Eurocom Entertainment Software,Platform,1.63,23.68
Eurocom Entertainment Software,Misc,3.8,23.68
Eurocom Entertainment Software,Action,11.46,23.68
Eurocom Entertainment Software,Sports,0.58,23.68
Eurocom Entertainment Software,Shooter,6.21,23.68
Rockstar Leeds,Racing,3.65,23.6
Rockstar Leeds,Action,19.61,23.6
Rockstar Leeds,Adventure,0.25,23.6
Rockstar Leeds,Misc,0.09,23.6
Volition Inc.,Action,16.18,22.86
Volition Inc.,Role-Playing,0.72,22.86
Volition Inc.,Shooter,5.96,22.86
Epic Games,Action,0.02,22.74
Epic Games,Shooter,22.72,22.74
Codemasters,Action,0.08,22.09
Codemasters,Racing,19.45,22.09
Codemasters,Shooter,2.56,22.09
Good Science Studio,Misc,21.81,21.81
Rainbow Studios,Shooter,0.07,21.14
Rainbow Studios,Racing,20.06,21.14
Rainbow Studios,Sports,0.79,21.14
Rainbow Studios,Action,0.22,21.14
Gearbox Software,Strategy,0.01,20.91
Gearbox Software,Misc,0.88,20.91
Gearbox Software,Shooter,20.02,20.91
Criterion Games,Fighting,0.02,20.27
Criterion Games,Sports,0.23,20.27
Criterion Games,Racing,18.35,20.27
Criterion Games,Shooter,1.67,20.27
EA LA,Puzzle,1.67,20.27
EA LA,Shooter,18.46,20.27
EA LA,Strategy,0.14,20.27
EA Redwood Shores,Action,6.81,20.24
EA Redwood Shores,Sports,2.36,20.24
EA Redwood Shores,Adventure,0.15,20.24
EA Redwood Shores,Shooter,6.9,20.24
EA Redwood Shores,Simulation,4.02,20.24
343 Industries,Shooter,19.82,19.82
EA Black Box,Racing,11.37,19.17
EA Black Box,Sports,7.8,19.17
Valve Software,Shooter,19.14,19.14
KCEJ,Simulation,0.41,18.93
KCEJ,Action,17.49,18.93
KCEJ,Shooter,0.75,18.93
KCEJ,Role-Playing,0.27,18.93
KCEJ,Fighting,0.01,18.93
The Sims Studio,Simulation,18.93,18.93
Toys for Bob,Sports,0.78,18.73
Toys for Bob,Action,14.46,18.73
Toys for Bob,Platform,3.49,18.73
Dimps Corporation,Action,1.26,18.63
Dimps Corporation,Platform,6.13,18.63
Dimps Corporation,Fighting,11.24,18.63
Rare Ltd.,Misc,0.79,18.46
Rare Ltd.,Adventure,1.87,18.46
Rare Ltd.,Racing,1.32,18.46
Rare Ltd.,Shooter,0.77,18.46
Rare Ltd.,Simulation,2.64,18.46
Rare Ltd.,Action,0.48,18.46
Rare Ltd.,Platform,4.4,18.46
Rare Ltd.,Sports,6.19,18.46
From Software,Simulation,4.28,18.31
From Software,Shooter,0.11,18.31
From Software,Action,3.15,18.31
From Software,Adventure,0.06,18.31
From Software,Misc,0.13,18.31
From Software,Role-Playing,10.58,18.31
Turn 10,Racing,18.11,18.11
TT Fusion,Misc,1.67,18.04
TT Fusion,Action,16.37,18.04
Artificial Mind and Movement,Misc,0.45,17.87
Artificial Mind and Movement,Shooter,1.49,17.87
Artificial Mind and Movement,Action,8.96,17.87
Artificial Mind and Movement,Adventure,3.04,17.87
Artificial Mind and Movement,Platform,3.9,17.87
Artificial Mind and Movement,Role-Playing,0.03,17.87
Pandemic Studios,Shooter,12.72,17.61
Pandemic Studios,Action,2.44,17.61
Pandemic Studios,Strategy,1.33,17.61
Pandemic Studios,Sports,1.12,17.61
Activision,Shooter,0.81,17.01
Activision,Sports,7.51,17.01
Activision,Misc,3.13,17.01
Activision,Adventure,0.41,17.01
Activision,Puzzle,0.34,17.01
Activision,Platform,0.26,17.01
Activision,Racing,1.3,17.01
Activision,Action,1.28,17.01
Activision,Simulation,1.97,17.01
Hudson,Adventure,0.25,16.96
Hudson,Misc,16.09,16.96
Hudson,Puzzle,0.62,16.96
Game Arts,Simulation,0.14,16.7
